1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	<eps> PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP <eps> <eps> <eps>	_
1959	PREP NFS PREP AUX NOUN PREP DETFS NFS DET PROPN VERB PREP AUX VPPMP	<eps> NFS PREP AUX NOUN PREP DETFS NFS DET PROPN VERB PREP AUX VPPMP	_
1960	COCO PPOBJMP ADV VERB PREP PDEMFS NFS PREP NFS ADV COSUB PPER3MP AUX VPPMP PPOBJFS VERB	VERB PREP <eps> <eps> PREP PDEMFS NFS PREP NFS ADV COSUB PPER3MP AUX VPPMP PPOBJFS VERB	_
1961	DINTFS NFS PREL VERB ADJFS COCO DET PROPN PREP PROPN XFAMIL AUX DINTFS PROPN PREP ADJFS NFS ADJFS	<eps> <eps> PREL VERB ADJMS COCO DET PROPN PREP PROPN XFAMIL XFAMIL <eps> XFAMIL PREP ADJFS NFS ADJFS	_
1962	DET NFS AUX VPPFS PREP ADV PREP ADV ADJFS PREP ADV PREP ADV ADJMS COCO ADV DET NMP PREP PPOBJMP ADV VERB PREP PREF YPFOR	<eps> NFS AUX VPPMS PREP ADV PREP ADV ADJFS PREP ADV PREP ADV ADJMS <eps> ADV DET NMP PREP PPOBJMP ADV VERB PREP PREF VERB	_
1963	PREP ADV PINDMS VERB ADV ADV	ADV COSUB PINDMS VERB ADV ADV	_
1965	ADJMS ADJMS PROPN AUX DINTFS NFS ADV PREP NMS DETMS NMS ADJMS PREFP AUX VPPMS PREP DINTMS NMS NMS PREP NMS	NMS ADJMS PREP PROPN VERB <eps> ADV PREP NMS DETMS NMS ADJMS PREFP AUX VPPMS PREP DINTMS NMS NMS PREP NMS	_
1966	ADV ADV ADV DETMS NMS PROPN PREP DETFS NFS VERB <eps> DINTMS ADJMS NMS PREP PROPN XFAMIL <eps>	<eps> ADV ADV PINDMS PROPN XFAMIL PREP DETFS NFS ADV ADV DINTMS ADJMS NMS PREP NMP PPER1S ADJ	_
1967	PROPN		_
1968	PROPN		_
1969	PROPN DETMS ADJMS NMS PREP PROPN XFAMIL <eps> <eps> <eps>	<eps> <eps> ADJMS NMS PREP PDEMFS NFS AUX PREP NFS	_
1970	NMP ADJMP PUNCT	<eps> <eps> 	_
1971	PPER3MS AUX VPPMS DETFS	AUX VPPMS <eps> <eps>	_
1972	ADJMP DET NMP VERB ADV PROPN COCO DINTFS ADJFS NFS ADJFS ADV <eps> DETMS ADJMS NMS PREP PROPN DINTMS ADJMS NMS ADJ	NMS PREP VERB DET <eps> <eps> <eps> <eps> <eps> NFS ADJFS ADV ADV DETMS ADJMS NMS PREP PROPN <eps> ADJMS NMS ADJ	_
1973	PROPN XFAMIL	PROPN XFAMIL	_
1974	DET ADJMS NMS PREF AUX VPPMS PREP CHIF CHIF CHIF NMP NMS VPPMS ADV COSUB PDEMMS PREP PROPN ADV VPPMS PREP PROPN XFAMIL ADJFS COCO ADJFS PREP NFS AUX DETMS NMS VERB ADV PROPN XFAMIL VERB DINTMS NMS ADJ DINTMS NMS PREL PREF VERB ADV ADJMS	<eps> ADJMS CHIF NMP AUX VPPMS PREP CHIF CHIF NMP NMP NMS VPPMS ADV COSUB PDEMMS PREP PROPN ADV VPPMP PREP PROPN PUNCT ADJFS COCO ADJFS PREP NFP <eps> DETMS NMS VERB ADV ADV PROPN XFAMIL XFAMIL VERB ADJ <eps> <eps> <eps> PREF VERB ADV ADJMS	_
1975	ADV ADJMS ADV PREP DETFS NFS ADJFS	PROPN <eps> ADV PREP DETFS NFS ADJFS	_
1976	ADJMS PREP NFS PREP DETMS NMS ADJMS ADV PINDMS PREFP VERB DET ADJFS NFS ADV AUX ADV VPPMS	<eps> PREP NFS PREP DETMS NMS ADJMS ADV PINDMS PREFP VERB DET ADJFS NFS ADV AUX ADV VPPMS	_
1977	PDEMMS AUX ADV ADJFS PINDMS VERB	<eps> AUX ADV ADJFS PINDMS VERB	_
1978	PREP VERB	<eps> 	_
1979	DETFS NFS ADJFS DET NMP AUX VPPMS PREP VERB PREP PROPN XFAMIL XFAMIL <eps> <eps> <eps> AUX VPPMS DETMS ADJMS NMS PREP DETFS NFS PREP CHIF NFP PREP DET NFP PROPN AUX DET NFS PREP VERB DET ADJMP NMP COCO PROPN XFAMIL VERB ADV PREP DET NFS ADJFS	<eps> NFS ADJFS DET NMP AUX VPPMS PREP VERB PREP PREP VERB DET NFP PROPN XFAMIL AUX VPPMS DETMS ADJMS NMS PREP DETFS NFS PREP CHIF NFP PREP DET NFP PROPN AUX DET NFS PREP VERB DET ADJMS NMS PINDMS <eps> ADV VERB ADV PREP DET NFS ADJFS	_
1980	PPER1S AUX PREP PROPN PREP DINTFS ADJFS ADJFS NFS COCO ADV PPER1S AUX VPPMS	AUX <eps> PREP PROPN PREP DINTFS ADJFS ADJFS NFS COCO ADV PPER1S AUX VPPMS	_
1981	PROPN	COCO	_
1982	PPER1S AUX VPPMS ADV PREP PREFS VERB COSUB PPER3MS ADV AUX ADV VPPMS DET NFP ADJFP	VERB <eps> <eps> ADV PREP PREFS ADV ADJMS NMS <eps> AUX ADV VPPMS DET NFP ADJFP	_
1984	INTJ ADJMS NMS	ADJMP NMP <eps>	_
1985	VERB DET ADJFS NFS COSUB PPER1S PREFP VERB COCO	<eps> <eps> <eps> <eps> <eps> <eps> <eps> <eps> 	_
1986	DINTMS NMS PREP VERB PREP DINTMS ADJMS NMS PREL VERB DET NMS ADJMS PUNCT PPER3MS <eps> PPOBJMS VERB PROPN XFAMIL NMS ADJMS ADJMS PREP PROPN PPER3MS VERB DINTFS NFS PREP NFS PROPN XFAMIL COCO NFS ADJFS	<eps> NMS PREP VERB PREP DINTMS ADJMS NMS PREL VERB DET NMS ADJMS ADV ADV PDEMMS PPER3MS VERB PROPN XFAMIL NMS ADJMS ADJMS PREP PROPN PPER3MS VERB DINTFS NFS PREP NFP ADJFP NFP ADJ <eps> <eps>	_
1987	COCO PPER1S VERB DET NFS COSUB DET NMS AUX DINTFS NFS PREL ADV PREF VERB NMS PREP DET NFP ADV ADJFP <eps> VERB COSUB PPER1S VERB VERB DETFS NFS	<eps> <eps> VERB DET NFS COSUB DET NMS AUX ADJMS <eps> PREL ADV PREF VERB ADV PREP DET NFP ADV ADV ADV VERB COSUB PROPN XFAMIL <eps> DETFS NFS	_
1988	COCO PDEMMS NMS PREFP AUX VPPMS <eps> PROPN XFAMIL PREP NMS PREP VERB PREP DINTMS NMS PREP DET NFS	<eps> PDEMMS NMS PREFP AUX VPPMS PREP PROPN XFAMIL PREP NMS PREP VERB PREP DINTMS NMS PREP DET NFS	_
1989	PPOBJMP VERB DET NMP PREL PREF VERB ADV DET CHIF NOUN DET NMP PREL VERB DETMS NMS	<eps> <eps> <eps> PROPN PREL PREF VERB ADV DET CHIF NOUN DET NMP PREL VERB DETMS NMS	_
1990	COCO ADV PROPN COCO PROPN PREP NFS PREP NMS VERB PREP NMS PREP NMS PROPN PREP PROPN XFAMIL XFAMIL	<eps> <eps> PROPN <eps> <eps> PREP NFS PREP NMS ADJMS <eps> <eps> <eps> NMS PROPN PREP PROPN XFAMIL XFAMIL	_
1991	ADV PREFP ADV VERB ADV PDEMMS AUX ADV DETMS NMS	<eps> PREFP ADV VERB ADV PDEMMS AUX ADV DETMS NMS	_
1992	PROPN PREP NMS AUX VPPMS PREP DETFS NFS PROPN PREP NMS PROPN XFAMIL <eps> XFAMIL ADJ	PROPN PREP NMS AUX VPPMS PREP DETFS NFS PROPN PREP NMS PROPN XFAMIL PDEMMS NMS ADJMS	_
1993	ADJMS NMS PREP DINTMS NMS PREP DETFS NFS PREP DET NFS NFS PREP VERB DETFS NFS PREP ADV PREP CHIF NMP DINTMS NMS PREP DET ADJFS NFS PREL PPER3MS VERB ADV PREP PROPN XFAMIL	<eps> PROPN PREP DINTMS NMS PREP DETFS NFS PREP DET NFS NFS PREP VERB DETFS NFS PREP ADV PREP CHIF NMP DINTMS NMS PREP DET ADJFS NFS PREL PPER3MS VERB ADV PREP PROPN XFAMIL	_
1994	PINDMS AUX VPPMS PPER3MS PPOBJMS VERB CHIF NMP COCO PDEMMS PDEMMS PREF VERB ADV ADV COCO PREP CHIF NMP PINDMS AUX ADV VPPMS DINTFS NFS PREP NFP PREP DET CHIF CHIF PREL PREFP VERB PREP PREP VERB PREP DETFS NFS	PINDMS AUX VPPMS PPER3MS PPOBJMS VERB CHIF NMP COCO PDEMMS PDEMMS PREF VERB ADV ADV COCO PREP CHIF NMP PINDMS AUX ADV VPPMS DINTFS NFS PREP NFP PREP DET CHIF CHIF PREL PREFP AUX AUX VPPMS <eps> PREP DETFS NFS	_
1995	DET ADJMP MOTINC MOTINC	ADJMS NMS PUNCT <eps>	_
1996	PDEMMS AUX DETMS NMS ADJMS PREP DET NFS PREP DETFS NFS COCO COSUB DET NOUN DET NMP DET PROPN VERB DINTMS NMS ADJMS AUX PROPN XFAMIL DETMS NMS PREP PROPN PREL AUX VPPMS DET NFS PREP DINTFS NFS PREP DETFS PROPN <eps>	COCO <eps> DETMS NMS ADJMS PREP DET NFS PREP DETFS NFS COCO COSUB DET NOUN DET NMP DET PROPN VERB DINTMS NMS ADJMS <eps> PROPN XFAMIL DETMS NMS PREP PROPN PREL AUX VPPMS DET NFS PREP DINTFS NFS PREP DETFS NFS PROPN	_
1997	PROPN XFAMIL AUX VERB ADV PREP DETMS NMS PROPN PDEMMS PREP PROPN XFAMIL <eps> <eps> PREP NFS AUX ADV VPPMS PPER3MS AUX PREP DET NMS ADV AUX VPPMS PREP ADJMP DET NMP PREP PDEMFS ADJFS NFS	PROPN XFAMIL AUX VERB ADV PREP DETMS NMS PROPN PDEMMS PREP DET NFS PREP NMS PREP NFS AUX ADV VERB <eps> <eps> PREP DET NMS ADV AUX VPPMS PREP ADJMP DET NMP PREP PDEMFS ADJFS NFS	_
1998	NMS COCO NFS PREP NFS	DET <eps> NFS PREP PROPN	_
1999	VERB DET ADJFP NFP DET NFP PREP NMS ADJMS ADV DET NFP PREP PROPN COCO PROPN AUX AUX VPPFP PREP PROPN PREP NMS PROPN ADV DET PINDMS AUX VPPMS PREP VERB DET NFP DINTMS NMS PREP DINTFS NFS PREP DETFS NFS AUX VPPMS PREP PROPN	<eps> DET ADJFP NFP DET NFP PREP NMS ADJMS ADV DET NMP PREP PROPN COCO NMP AUX AUX VPPMP PREP PROPN <eps> XFAMIL XFAMIL ADV <eps> PINDMS AUX VPPMS PREP VERB DET NFP DINTMS NMS PREP DINTFS NFS PREP DETFS NFS AUX VPPMS PREP PROPN	_
2000	COCO DET ADJMP PROPN COCO PROPN ADV AUX ADV VPPMS PREP DETFS NFS PREP DET NFP	<eps> DET ADJMP PROPN COCO PROPN ADV AUX ADV VPPMS PREP DETFS NFS PREP DET NMP	_
2001	PINDMS PPOBJMS AUX VPPMS PREP VERB PREP DETMS NMS COCO PREP PPOBJMS VERB COCO PINDMS VERB COSUB DET NFP AUX VPPFP PREP DET ADJMS NMS PREP NMS DET NMP AUX VPPMP PREP ADV ADV PPOBJMS VERB ADV	PINDMS <eps> AUX VPPMS PREP VERB COSUB DETMS NMS COCO PREP PPOBJMS VERB COCO PINDMS VERB COSUB DET NFP AUX VPPFP PREP DET ADJMS NMS PREP NMS DET NMP AUX VPPMP PREP ADV ADV VERB VERB ADV	_
2002	PROPN COCO PROPN AUX VPPMS DINTFS NFS PREP NMS ADV ADV ADV PREP DETFS NFS COCO PREP DETFS NFS PROPN	AUX <eps> PROPN AUX VPPMS DINTFS NFS PREP NMS ADV ADV ADV PREP DETFS NFS <eps> PREP DETFS NFS PROPN	_
2003	NFS COCO PREFP PINDMS VERB VERB DET NMP PREP PROPN XFAMIL VPPFS PREP NMS	<eps> <eps> <eps> PINDMS VERB VERB DET NMP PREP PROPN XFAMIL VERB <eps> NMS	_
2004	DINTMS ADJMS NMS PREP PROPN XFAMIL	<eps> ADJMS NMS PREP PROPN XFAMIL	_
2005	COCO ADV PREP DET ADJFS NFS VPPFS PREP DETMS NMS ADV PDEMMS AUX ADV PREP ADV PDEMMS NMS	<eps> <eps> PREP DET ADJFS NFS VPPMP PREP DETMS NMS PROPN XFAMIL AUX ADV PREP ADV <eps> <eps>	_
2006	ADJMP		_
2007	COCO ADV ADV ADJMS	<eps> INTJ ADV ADJMS	_
2008	PPER3FS VERB NFS DET NFP PREP DET NMS PREP DETFS ADJFS NFS PROPN XFAMIL AUX PREP NMS ADJMS PREP PROPN PREP VERB PROPN XFAMIL XFAMIL PREP PRELMS PPER3FS VERB DINTFS NFS PREL VERB PREP PREF VERB PREP NMS PREP CHIF ADJMS NMS PREP VERB DET NFS ADV AUX PRON PREL PPER3FS VERB COSUB PPER3FS VERB VERB PREP PROPN	<eps> VERB NFS DET VPPMP PREP DET NMS PREP DETFS ADJFS NFS PROPN XFAMIL AUX PREP NMS ADJMS PREP PROPN PREP VERB PROPN XFAMIL NMS PREP PRELMS PPER3FS VERB DINTFS NFS PREL VERB PREP PREF VERB PREP NMS PREP ADJMS <eps> NMS PREP VERB DET NFS ADV AUX PRON PREL PPER3FS VERB COSUB PPER3FS VERB VERB PREP PROPN	_
2009	PPER1S ADV VERB ADV	<eps> ADV VERB ADV	_
2010	ADV PREP AUX ADJMS PPER1S ADV VERB ADV PPER1S ADV VERB ADV PPER1S PPER1S VERB COSUB PDEMMS AUX ADV PREP VERB ADV COCO COSUB PREFP VERB DETFS NFS PDEMMS AUX ADJ COCO ADV PPER1S VERB COSUB PRON AUX DET NFS PREP PROPN XFAMIL ADV ADV ADJMS PDEMMS AUX ADJMS COCO PREP PPOBJMS DETFS NFS ADV VERB ADV PPER3MS VERB ADV	<eps> PREP AUX ADJMS PPER1S ADV VERB ADV PPER1S ADV VERB ADV PPER1S PPER1S VERB COSUB PDEMMS AUX ADV PREP VERB ADV PROPN COSUB PREFP VERB DETFS NFS PDEMMS AUX ADJ COCO ADV PPER1S VERB COSUB PRON AUX DET NFS PREP PROPN XFAMIL ADV ADV ADJMS PDEMMS AUX ADJMS COCO PREP PPOBJMS DETFS NFS ADV VERB ADV PPER3MS VERB ADV	_
2012	DETFS NFS AUX ADV VPPMS PREP VERB DET NFS COSUB PRON AUX PREP NMS DINTMS NMS COCO PREP DET NFS PREP NMS PREP PROPN <eps> XFAMIL XFAMIL AUX AUX VPPFS ADV ADV PREP DET NMS PREP DET NMS DINTMS NMS DET ADJ NOUN PREP DINTFS ADJFS NFS PREL VERB DET NFS PREP DET NFS	<eps> NFS AUX ADV VPPMS PREP VERB DET NFS COSUB PRON AUX PREP NMS DINTMS NMS ADV PREP DET NFS DETMS NMS PREP PROPN XFAMIL XFAMIL XFAMIL AUX AUX VPPMS ADV VERB <eps> DET NMS PREP DET NMS DINTMS NMS DET ADJ NOUN PREP DINTFS ADJFS NFS PREL VERB DET NFS PREP DET NFS	_
2013	PROPN VERB	COCO VERB	_
2014	PROPN PREP DETMS NMS PROPN XFAMIL AUX VPPMS DINTMS NMS ADJMS AUX AUX VPPMS PREP DETMS NMS DETMS NMS PREL PPOBJMS AUX VPPMS COCO DET NMP DET NMP PREP PROPN AUX VPPMS DINTFS NFS PREP DETMS NMS PREP DETMS NMS PREP DET NMS PPER3MP VERB ADV PREP VERB PREP VERB	<eps> PREP DETMS NMS PROPN XFAMIL AUX VPPMS DINTMS NMS ADJMS AUX AUX VPPMS PREP DETMS NMS DETMS NMS PREL PPOBJMS AUX VPPFS COCO DET NMP DET NMP PREP PROPN AUX VPPMS DINTFS NFS PREP DETMS NMS PREP DETMS NMS PREP DET NMS PPER3MP VERB ADV CHIF CHIF VPPFP <eps>	_
2015	PROPN VERB ADV	NMS VERB ADV	_
2016	DINTMS ADJMS NMS PREP DETMS NMS PREP PROPN XFAMIL COCO PROPN XFAMIL PREP DINTFS NFS DINTMS NMS ADJ ADJ AUX ADV DETMS NMS DETMS ADV ADJMS PREP DETFS NFS PREP DINTMS NMS PREP NFS PREP CHIF NMP CHIF PREP CHIF PREP CHIF CHIF CHIF CHIF PREP CHIF	DINTMS ADJMS NMS PREP DETMS NMS PREP PROPN XFAMIL COCO PROPN XFAMIL PREP DINTFS NFS DINTMS NMS ADJ ADJ AUX ADV DETMS NMS DETMS ADV ADJMS PREP DETFS NFS PREP DINTMS NMS PREP NFS PREP CHIF NMP CHIF PREP CHIF PREP CHIF CHIF CHIF CHIF PREP CHIF	_
2017	PREP DETMS NMS PREP DET PROPN <eps> PREP PROPN XFAMIL DETFS NFS AUX VPPFS VERB DETFS ADJFS NFS DINTMS NMS PREP DET NFS CHIF CHIF CHIF ADV PREP PREP CHIF CHIF NFP CHIF PREP CHIF DETMS NMS DETMS ADV ADJMS PREP DET NFS PDEMMS AUX DET NMS ADJMS PREP PROPN XFAMIL XFAMIL	<eps> DETMS NMS PREP DET PROPN XFAMIL PREP PROPN XFAMIL DETFS NFS AUX VPPFS VERB DETFS ADJFS NFS DINTMS NMS PREP DET NFS CHIF NMP CHIF ADV PREP PREP CHIF CHIF NFP CHIF PREP CHIF DETMS NMS ADV ADV ADJMS PREP DET NFS PDEMMS AUX DET NMS ADJMS PREP PROPN <eps> XFAMIL	_
2018	ADV PREP CHIF CHIF NMP PREP NMP PREP DINTFS NFS PREP DINTMS NMS CHIF CHIF PREP CHIF	<eps> PREP CHIF CHIF NMP PREP NMP PREP DINTFS NFS PREP DINTMS NMS CHIF CHIF PREP CHIF	_
2019	COCO PINDMS VERB ADV COSUB DINTMS NMS PDEMMS NMS ADJ ADV PREL VERB <eps> DET PROPN ADV ADV DETMS NMS	<eps> PINDMS VERB ADV COSUB DINTMS NMS PDEMMS NMS ADJ ADV PREL VERB PREP DET PROPN ADV ADV DETMS NMS	_
2020	ADV VERB PPOBJMP PROPN XFAMIL PINDMS VERB PDEMMS PDEMMS NMS NMS PPER2S VERB PREFS VERB PREL AUX VPPMS ADV DET NFS PREP PROPN XFAMIL	<eps> VERB PPOBJMP PROPN XFAMIL PINDMS VERB PDEMMS PDEMMS NMS <eps> <eps> <eps> <eps> <eps> PREL AUX VPPMS ADV DET NFS PREP PROPN XFAMIL	_
2021	COCO DETMS NMS ADJMS VPPMS PREP PROPN COCO PREP NFS ADV DET DET NMP	<eps> DETMS NMS ADJMS VPPMS PREP PROPN COCO VERB VERB ADV DET <eps> NMP	_
2022	PROPN XFAMIL	PROPN XFAMIL	_
2023	NMS NMS PROPN XFAMIL	<eps> <eps> <eps> 	_
2024	DETFS NFS PREP ADV ADV AUX ADV VPPMS PDEMMS AUX PREP PROPN ADV ADJMP VERB ADV COCO PREP NFS VPPFS PDEMMS VERB DET NFP PREP PDEMMS	<eps> NFS PREP ADV ADV AUX ADV VPPMS PDEMMS NMS PREP PROPN COSUB ADJMP VERB ADV ADV PREP NFS VPPMS PDEMMS VERB DET NFP PREP PDEMMS	_
2025	DETFS NFS AUX PREP NMS PREP VERB DET PROPN VPPFS PREP ADV <eps> PREP CHIF CHIF NMP ADJMP PPER3FS VERB ADV DETMS CHIF NMS PREP PROPN ADJ PREL AUX ADV PREP NFS DINTMS NMS NMS ADJMS	<eps> NFS AUX PREP NMS PREP VERB DET PROPN VPPMS PREP ADV ADV PREP CHIF CHIF NMP ADJMP <eps> VERB ADV DETMS CHIF NMS PREP PROPN ADJMP PREL AUX ADV PREP NFS DINTMS NMS <eps> ADJMS	_
2026	PREP ADV PREP CHIF NMP PREP NMP PPER3MS VERB PREP VERB ADV COSUB PROPN DET PROPN CHIF PREL ADV AUX PRON COSUB DETMS ADJMS ADV ADJ NMS PREP CHIF CHIF CHIF PREP DETMS NMS	<eps> ADV PREP CHIF NMP PREP NMP PPER3MS VERB PREP VERB ADV COSUB PROPN DET PROPN CHIF PREL ADV AUX PRON COSUB DETMS ADJMS ADV ADJ NMS PREP CHIF NMP CHIF PREP DETMS NMS	_
2027	PROPN VPPFS	PROPN <eps>	_
2028	PDEMMS AUX DINTMS ADV DETFS NFS PREP PROPN DET NMS PROPN XFAMIL ADV VERB ADV DETFS NFS ADV ADV COSUB PROPN ADJFS PROPN XFAMIL AUX VPPMS DET NFS PREP PROPN XFAMIL PREP VERB PRON PPER3FS PPOBJFS VERB PREP NFS	<eps> AUX DINTMS ADV DETFS NFS PREP PROPN DET NMS PROPN XFAMIL ADV VERB ADV DETFS NFS ADV ADV COSUB PROPN ADJFS PROPN XFAMIL AUX VPPMS DET NFS PREP PROPN XFAMIL PREP VERB PRON PPER3FS PPOBJFS VERB PREP NFS	_
2029	PROPN PRON ADV AUX ADV ADV DINTMS NMS ADJMS AUX DET PINDMS PREP DET ADV ADJMP NMP COCO PPER1S ADV VERB ADV AUX VPPMS DINTMS NMS COSUB PDEMFS NFS AUX ADV ADV <eps> ADV PPER1S AUX ADV VPPFS COCO ADJFS <eps> <eps>	<eps> PDEMMS ADV AUX ADV ADV DINTMS NMS ADJMS AUX DET PINDMS PREP DET ADV ADJMP NMP COCO PPER1S ADV VERB ADV AUX VPPMS DINTMS NMS COSUB PDEMFS NFS AUX ADV ADV ADV ADV PPER1S AUX ADV VPPMS <eps> ADJFS DET NMP	_
2030	PINDMS VERB PREP PROPN XFAMIL	<eps> VERB PREP PROPN XFAMIL	_
2031	COCO DETFS ADJFS NFS AUX VPPMS DET NFS PREP DET NMP COCO PPER3MS PREF VERB ADV DINTMS NMS PDEMMS NMS ADJMS PREL AUX VPPMS ADV PREP DET NFS PREP PROPN XFAMIL NMS COCO VERB ADV PPER3MS AUX AUX VPPMS PREP DETFS NFS ADJMS DETMS NMS ADJMS AUX ADJMS	<eps> DETFS ADJFS NFS AUX VPPMS DET NFS PREP DET NMP COCO PPER3MS PREF VERB ADV DINTMS NMS PDEMMS NMS ADJMS PREL AUX VPPMS ADV PREP DET NFS PREP DET NMP NMS COCO VERB COSUB PPER3MS AUX AUX VPPMS PREP DETFS NFS <eps> DETMS NMS ADJMS AUX ADJMS	_
2032	DET NMP PREP NMS ADV ADV VERB ADV COSUB DETMS NMS PREP PROPN XFAMIL COCO PREP PDEMMS PPER3MS VERB VERB DET NMP PINDMS PPOBJMS VERB PREP DETFS NFS PREP NMS PREP NMS	PROPN <eps> PREP NMS ADV ADV VERB ADV COSUB DETMS NMS PREP NOUN PROPN COCO PREP PDEMMS PPER3MS VERB VERB DET NMP PINDMS PPOBJMS VERB PREP DETFS NFS PREP NMS PREP NMS	_
2033	VERB PREP NMP PREP DINTMS NMS PROPN COCO PPER3MS PPOBJMS VERB ADV DET NMP PDEMMS NMS PREP CHIF NFP PREP PROPN XFAMIL CHIF PREP PROPN COCO CHIF PREP NMP PROPN XFAMIL PREL AUX VPPMS DET ADJMP NMP AUX ADV PREP DETFS NFS DET NMP PDEMMS NMS PPER3MS VERB DET NMS	VERB DET NMP PREP DINTMS NMS PREFP VERB <eps> <eps> <eps> ADV DET NMP PDEMMS NMS PREP CHIF NFP PREP CHIF NMP ADV ADJFS NFS COCO CHIF PREP NMP PROPN XFAMIL PREL AUX VPPMS DET ADJMP NMP AUX ADV PREP DETFS NFS DET PROPN PDEMMS NMS PPER3MS VERB DET NMS	_
2034	DETMS NMS PREP DET NFS COCO ADJFS DET NFS DINTMS NMS PREP AUX ADV PREP NFS PREP DETFS NFS DET NMP PREL PINDMS PREP VERB VERB DETFS NFS DINTMS NMS	DETMS NMS PREP DET NFS COCO ADJFS DET NFS DINTMS NMS VERB AUX ADV PREP NFS PREP DETFS NFS DET NMP PREL <eps> <eps> VERB PREP DETFS NFS DINTMS NMS	_
2035	PINDMS VERB PDEMMS NMS NMS ADV PREP ADJFS NFS <eps>	<eps> VERB DET NMS NMS ADV PREP DETMS ADJMS NMS	_
2036	PREP NMS PREP PROPN XFAMIL PREL VERB PPER3FS ADV DET NMS ADV PREP DET NFS	<eps> <eps> PREP PROPN XFAMIL PREL VERB DINTMS NMS PREP <eps> ADV PREP DET NFS	_
2037	ADV VERB DETFS NFS PREP PREP NFS DET NMP NUM NFS NUM NFS PREP NMP DINTMS NMS PPOBJMS <eps> VERB PPOBJMS VERB DETFS ADJFS NFS PREL ADV AUX ADV VPPFS PREP PROPN COCO	ADV VERB DETFS NFS PREP <eps> NFS DET NMP PINDFS CHIF NUM NFS PREP NMP DINTMS NMS COCO PPER3MP VERB PPOBJMP VERB DETFS ADJFS NFS PREL ADV AUX ADV VPPFS PREP PROPN <eps>	_
2038	DETFS NFS ADV AUX VPPFS PREP PROPN PREP DINTFS ADJFS NFS PREL PREFP VERB VERB ADV NOUN PREP PROPN XFAMIL	<eps> NFS ADV VPPMP <eps> PREP PROPN PREP DINTFS ADJFS NFS PREL PREFP VERB VERB ADV NOUN PREP PROPN XFAMIL	_
2039	PREP DET NMP DET ADV ADJFP DET NFP DINTMS NMS PREP DET NMS PREP ADJMP DET NMP ADV AUX ADV PREP PDEMFS ADJFS NFS PREP PROPN COSUB DET NFP AUX VPPFP	PREP DET NMP DET ADV ADJFS DET NFP DINTMS NMS PREP DET NMS PREP ADJMP DET NMP ADV AUX ADV PREP PDEMFS ADJFS NFS PREP PROPN COSUB DET NFP AUX ADJFP	_
2040	PINDMS VERB PREP DETFS CHIF CHIF CHIF CHIF CHIF COCO ADJMS <eps> <eps> PDEMMS AUX DETMS ADJMS NMS PREP DETFS ADJFS NFS PREP CHIF CHIF CHIF PINDFP PREF VERB PREP DET NFS DINTMS NMS ADJMS COCO DETFS NFS AUX AUX VPPFS	PINDMS VERB PREP DETFS CHIF NMP CHIF CHIF CHIF COCO ADJMS VERB DINTMS PRON AUX DETMS ADJMS NMS PREP DETFS ADJFS NFS PREP CHIF NMP CHIF PINDFP PREF VERB PREP DET NFS DINTMS NMS ADJMS <eps> DETFS NFS AUX AUX VPPMP	_
2041	DET NFP DET NFP AUX ADV VPPFP	<eps> NFP DET NFP AUX ADV ADJMP	_
2042	CHIF CHIF NFP CHIF CHIF NMP PREP CHIF NMP CHIF CHIF CHIF NMP DET NMS VERB DINTMS ADJMS NMS DETMS NMS <eps> DINTMS NMS PREL VERB PREP PREP DET NMS AUX VPPMS PREP DET NFP DET NMS VERB CHIF NFP PREP NMS	<eps> CHIF NFP CHIF CHIF NMP PREP CHIF NMP CHIF CHIF CHIF NMP DET NMS VERB DINTMS NMS VERB DETMS PROPN PREP DINTMS NMS PREL VERB PREP PREP DET NMS COCO VPPMS PREP DET NFP DET NMS VERB CHIF NFP PREP NMS	_
2044	PINDMS VERB PREP PPOBJMS VERB ADV PPOBJMS VERB PREP DETFS NFS ADV PINDMS VERB DET NFS COCO PINDMS VERB DET NMP ADV PINDMS PPOBJMS VERB PREP ADV PPER3FP VERB <eps> PREP ADV DET NMS COCO PREP VERB DET NFP	<eps> VERB PREP PPOBJMS VERB ADV PREP DINTMS NMS PROPN COCO <eps> <eps> <eps> <eps> <eps> <eps> <eps> <eps> <eps> <eps> ADV PINDMS DET NMP VERB PROPN ADJMS DETMS NMS PREP DET NMS PPER3MP VERB VERB <eps> DET NFP	_
2045	ADJFS NFS DETMS NMS AUX VPPMS PREP DINTMS NMS DINTMS NMS PREP DET NMS ADV PREP DET NMS CHIF CHIF NMP DETFS NFS AUX VPPFS PREP DETFS NFS PREP NMP DET NFS ADV AUX VPPFS DINTFS NFS VPPFS COCO ADV VPPFS AUX ADV VPPFS	<eps> NFS DETMS NMS AUX VPPMS PREP DINTMS NMS DINTMS NMS PREP DET NMS ADV PREP DET <eps> CHIF CHIF NMP VERB ADV VERB <eps> PREP DETFS NFS PREP NMP DET NFS ADV AUX VPPFS DINTFS NFS VPPMP COCO ADV VPPMS AUX ADV VPPMS	_
