1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
2652	comment dire vous êtes optimiste bernard kouchner était à votre place il y a quelques instants il a dit « ça va prendre beaucoup de temps il faut rien regretter	comment dire vous êtes optimiste bernard kouchner était <eps> votre place il y a quelques instants elle a dit <eps> ça prend <eps> beaucoup de temps il faut rien regretter	_
2653	c(e) nous mêmes démocratie vieille démocratie européenne avons mis beaucoup de temps i(l) il faut faut accepter ce temps même si c' est difficile même si cette régression semble difficile »	s nous-mêmes <eps> démocratie vieilles démocraties européennes ont mis beaucoup de temps <eps> il faut <eps> accepter ce temps même si c' est difficile même <eps> cette régression semble difficile <eps>	_
2654	(h) les révolutions ne sont jamais des processus linéaires (n) la révolution française est passée par la terreur et elle a mis cent temps avant d' accoucher d' institutions véritablement démocratiques avec la troisième république	<eps> les révolutions ne sont jamais des processus culinaire à la révolution française passés <eps> par la terreur et l' ami <eps> cent ans avant d' accoucher d' institutions véritablement démocratique <eps> la troisième république	_
2655	donc on espère que ça ne sera pas le cas dans les révolutions arabes mais si vous voulez vous on a on <eps> a le sentiment qu' il y a eu une espèce de de de confiscation politique les élections ont amené pour l' essentiel les groupes les mieux structurés	donc on espère que ça ne sera pas le cas dans les révolutions arabes mais si vous voulez vous on a on on a le sentiment qu' il y a eu une espèce de de de confiscation politique les élections ont amené pour l' essentiel les groupes les mieux structurer	_
2656	au pouvoir c' est à dire les frères musulmans en égypte nahda <eps> <eps> <eps> en tunisie d' autres ailleurs qui n' étaient pas nécessairement ceux qui avaient déclenché les révolutions donc aujourd'hui on a ces processus d' ajustement on a aussi des différents pays	<eps> pouvoir s' il y a les frères musulmans en egypte n' a d' un en tunisie d' autres ailleurs il n' était pas nécessairement ce qui avait déclenché les révolutions aujourd' hui à ses <eps> processus d' ajustement on a aussi des différents pays	_
2657	de la région qui qui agissent pour préserver leurs intérêts <eps> les frères musulmans et nahda sont vus très favorablement par le qatar	de la région qui qui agissent pour préserver leurs intérêts eux les frères musulmans ennahda <eps> sont vus très favorablement par le qatar	_
2658	les salafistes sont davantage fascinés par l' arabie saoudite tous les grands imams et cheikhs du salafisme sont en arabie ces deux pays sont également en concurrence	les salafistes sont davantage fascinés par l' arabie saoudite tous les grands imam et chef du salafisme sont en arabie <eps> deux pays sont également en concurrence	_
2659	et par ailleurs tous ces les pays sunnites <eps> sont aujourd'hui <eps> dans engagés dans un conflit majeur avec l' iran dont la syrie est le relais dans la région et j' ai été très frappé du reste en tunisie la semaine dernière	<eps> par ailleurs tous ces <eps> pays s' unissent sont aujourd' hui dans engagé dans un conflit majeur avec l' iran dont la syrie <eps> le relais dans la région et j' étais <eps> très frappé du reste en tunisie la semaine dernière	_
2660	les groupes salafistes font la quête avec des grandes photos d' enfants sanguinolents <eps> autrefois ça aurait été des enfants palestiniens massacrés par l' armée israélienne à gaza bombardés aujourd'hui ce sont des enfants sunnites syriens	groupe salafiste <eps> font la quête avec des grandes photos d' enfants sanghi nolan autrefois ç' aurait été des enfants palestiniens massacrés par l' armée israélienne à gaza bombardé <eps> ce sont des enfants sunnites syrien	_
2661	par l' armée	<eps> l' armée	_
2662	soutenue par l' iran et donc quand vous avez l' iran aujourd'hui <eps> qui appelle à des manif(estations) enfin le hezbollah pro iranien en au liban qui appelle à des manifestations pour lutter contre le film et contre la vague d' insultes au prophète	soutenu par l' iran et donc quand vous avez l' iran aujourd' hui qui appellent à des fins <eps> le hezbollah pro-iranien <eps> <eps> au liban qui appelle à une manifestation pour lutter contre le film <eps> contre la bac n' insulte au prophète	_
2663	c' est la réponse iranienne	<eps> <eps> la réponse iranienne	_
2664	d' une certaine manière ils essaient comme lors <eps> <eps> de l' affaire rushdie en quatre vingt neuf où khomeini après les protestations qui avaient commencé par chez les sunnites a tiré le tapis	<eps> une certaine manière ils essayent comme à l' ordre de l' affaire oujdis en quatre-vingt <eps> neuf au khomeini après des protestations qui avaient commencé par chez les sunnites à tirer le tapis	_
2665	sous leurs pieds avec la fameuse fatwa du quatorze février mille neuf cent quatre vingt neuf pour apparaître comme le grand héraut a u t o s du monde musulman c' est beaucoup plus compliqué aujourd'hui <eps> parce que l' affaire syrienne si vous voulez plombe beaucoup <eps> <eps> le cette vision	sous leurs pieds avec la fameuse fatwa du quatorze février mille neuf cents quatre-vingt <eps> neuf pour apparaître comme le grand héros à lutter au reste <eps> du monde musulman c' est beaucoup plus compliqué aujourd' hui parce que les affaires syriennes si vous voulez plomb au maroc où le cette vision	_
2666	merci beaucoup gilles kepel on y reviendra puisque hélas on en reparlera de la syrie voilà pour la situation aujourd'hui <eps> en tout cas en france et en tunisie dont on a parlé dans un instant c' est alain marschall bien sûr et je vous retrouve avec olivier mazerolle	<eps> beaucoup gilles kepel on y reviendra puisque hélas on en reparlera de la syrie voilà pour la situation aujourd' hui en tout cas en france et en tunisie dont on a parlé dans un instant c <eps> alain marschall bien sûr et je vous retrouve avec olivier mazerolle	_
2667	bonsoir anna cabana	<eps> anna cabana	_
2668	bon(soir)		_
2669	merci d' être sur notre plateau vous êtes grand reporter au point et vous venez de publier un livre qui marche très très fort entre deux feux avec anne rosencher bonsoir david revault d' allonnes	<eps> d' être sur notre plateau vous êtes grand reporter au point <eps> vous venez de publier un livre qui marche très très fort entre deux feux avec anne rosencher bonsoir david rêvent d' halloween	_
2670	bon(soir)	soir	_
2671	grand spécialiste de la gauche au monde merci on va vous retrouver régulièrement sur ce plateau pour nous dévoiler un peu les potins et puis les explications et puis ce qu' on se dit dans les couloirs les off qu' on va peut être un peu griller enfin voilà les promesses pour nos spectateurs	<eps> spécialiste de la gauche au monde merci on va vous retrouver régulièrement sur ce plateau pour nous dévoiler un peu les potins et puis les explications et puisqu' <eps> <eps> on se dit dans les couloirs les offres qu' on va peut est un peu grillées enfin voilà une promesse d' un spectateur	_
2672	bon racontez moi cette semaine j' ai eu l' impression que c' était un grand désordre une grande cacophonie on en a <eps> on a une pétition sur le droit d(e) de vote des étrangers	<eps> racontez moi cette semaine j' ai eu l' impression que c' était un grand désordre une grande cacophonie <eps> en un an on a une pétition sur le droit <eps> de vote des étrangers	_
2673	on a évidemment le traité européen et puis on a des projets de loi qui sortent dans tous les sens des projets des des et puis qui sont démentis la tva par ci service minimum par là un ministre qui s' exprime l' autre qui dit le contraire mais qu' est ce qui se passe	<eps> a évidemment le traité européen et puis on a des projets de loi qui sortent dans tous les sens des projets des des et puis qui sont démentis la tva par-ci <eps> service minimum par la un ministre qui s' exprime le haut qui dit le contraire <eps> qu' est-ce <eps> qui se passe	_
2674	je crois qu' il y a un problème d' une part d' organisation de calage qui perdure on a vu que pendant les p(remiers) trois premiers mois de l' installation au pouvoir de de la gauche de françois hollande et de ses ministres	je crois qu' il y a un problème d' une part d' organisations de kalaje qui perdure on a vu que pendant les <eps> trois premiers mois de l' installation au pouvoir de de la gauche de françois hollande et <eps> ses ministres	_
2675	globalement tout s' était plutôt bien passé dans la mesure où le fait de jouer je dirais l' antagonisme avec la pratique de nicolas sarkozy était plutôt quelque chose qui marchait et puis très vite au retour de l' été	globalement tout s' était plutôt bien passé dans la mesure où le fait de jouer je dirais l' antagonisme avec la pratique de nicolas sarkozy était plutôt quelque chose qui marchait et puis très vite au retour de l' été	_
2676	(m) énorme baisse sondagière <eps> due notamment aux indicateurs économiques et et sociaux et là effectivement il y a un petit sentiment de de malaise de panique et puis fatalement se pose la question de cette organisation	m énorme baisse sondage hier due notamment aux indicateurs économiques et <eps> sociaux et là effectivement il y a un petit sentiment de de malaise de panique et puis fatalement se pose la question de cette organisation	_
2677	structurelle et puis de l' autorité du premier min(istre)	structurelles et puis de l' autorité du premier mai	_
2678	mais c' est ça	j' espère <eps> <eps>	_
2679	ambitieux	ambitieux	_
2680	i(l) y' a y' <eps> a un mot qui est très juste c' est la coordinnation alors ce qui est intéressant en ce moment c' est qu' à l' élysée les conseillers du président de la république disent que finalement (h) jean marc ayrault n' est pas un bon coordonateur de l' action du gouvernement	y <eps> a il y a un mot qui est trio <eps> c' est la coordination alors ce qui est intéressant en ce moment c' est qu' à l' elysée les conseillers du président de la république disent que finalement ben jean-marc <eps> ayrault n' est pas un bon coordonnateur de l' action du gouvernement	_
2681	et que c' est c' est son manque c' est à dire que c' est son autoritarisme qui vient compenser en fait un manque de confiance en lui et (h) qui fait que tout cafouille et qu' il ne per(met) enfin ça ne permet pas aux ministres de de (h) de coordonner <eps> leurs leurs propos	<eps> que c' est c' est son mot <eps> <eps> à dire que c' est son autoritarisme qui vient compenser en fait un manque de confiance en lui ben <eps> qui fait que tout cafouillé <eps> qu' il ne perd fin ça <eps> permet pas aux ministres de de ben de coordonnées de leurs leurs propos	_
2682	et au fond ce qui est c' est ce qui est vraiment vraiment amusant c' est que c' est lui qui est tenu pour responsable par l' elysée de cette cacophonie et de ce désordre je pense	<eps> au fond ce qu' est <eps> <eps> ce qui est vraiment vraiment amusant c' est que c' est lui qui est tenue pour responsable par l' elysée de cette cacophonie <eps> de ce désordre je pense	_
2683	c' est en partie injuste	<eps> <eps> en partie injuste	_
2684	de d' ambitieux et d' ambitions qui s' expriment dans tous les sens et qui ne tiennent pas d(e) compte de enfin <eps> beaucoup de gens oui nombrilistes à droite et à gauche m(ais) enfin	<eps> <eps> ambitieux et d' ambition qui s' expriment dans tous les sens et qui ne tiennent pas <eps> compte de fin de beaucoup de gens nombril <eps> à droite <eps> à gauche <eps> enfin	_
2685	du gouvernement qui tiennent pas compte de la discipline gouvernementale	<eps> gouvernement qui tiennent pas compte de la discipline gouvernementale	_
2686	mais vous avez raison souvenez vous pendant cinq ans ou presque sous françois fillon pas un ministre n' a moufté ou j' exagère à	<eps> vous avez raison souvenez vous pendant cinq ans ou presque sous françois fillon pas un ministre nemmouche télé où <eps> j' exagère à	_
2687	ce que je veux dire <eps> ça fait quand même quatre mois	veut <eps> <eps> <eps> dire que ça fait quand même quatre ans	_
2688	(prési)dent est installé que le premier ministre est installé et on a déjà trois ou quatre si ce n' est si ce n' est plus phénomènes de couacs <eps> de g(ens) de de de gens qui se contredisent et cetera	<eps> est installé que le premier ministre est installé et on a déjà trois ou quatre si ce n' est si ce n' est plus phénomène de quoi que de <eps> de de de jetons qui se contredisent etc <eps>	_
2689	et puis surtout on a comme vous le disiez beaucoup de ministres qui se sont autorisés à exister malgré la parole du premier ministre	<eps> puis surtout on a comme vous le disiez beaucoup de ministres qui se sont autorisés à exister malgré la parole du premier ministre	_
2690	aussi parc(e)	part <eps>	_
2691	voilà	voilà	_
2692	hollande les encourage en tout cas ne les dissuade pas de de de s' exprimer c' est à dire que comme en fait ce qui se passe c' est que les <eps> ministres enfin c' est ce qu' ils nous racontent au fond ils ont ils ont du mal à obtenir des arbitrages de matignon quand ils contactent matignon ils attendent longtemps pour avoir des réponses	<eps> les encourage en tout cas venu <eps> dissuade pas de de de s' exprimer <eps> est à dire que comme en fait ce qui se passe c' est que les les ministres passé <eps> <eps> ce qui <eps> nous raconte au fond ils ont ils ont du mal à obtenir des arbitrages de matignon quand ils contactent matignon ils attendent longtemps pour avoir des réponses	_
2693	et alors certains d' entre eux les plus audacieux ou ceux qui connaissent le mieux françois hollande envoient des sms à françois hollande	<eps> alors certains d' entre eux les plus audacieux ou ceux qui connaissent le mieux françois hollande envoie des sms à françois hollande	_
2694	et là il a ils ont des réponses illico qui leur permet ensuite de contourner le premier ministre mais avec finalement une bonne conscience puisque la validation <eps> tacite de la présidence de la république	<eps> là il a ils ont des réponses illico qui leur permet ensuite de contourner le premier ministre mais avec finalement une bonne conscience puisque la validation de tacite de la présidence de la république	_
2695	et ça c' est terrible pour f() pour jean marc ayrault qui lui surenchérit en <eps> pour essayer de compenser ça en étant plus autoritariste encore donc si vous voulez c' est un	<eps> ça c' est terrible pour <eps> pour jean-marc <eps> ayrault qui lui sur renchérit ont pour essayer de compenser sa en étant plus autoritarisme encore donc si vous voulez c' est un	_
2696	il a été il a été enfin il a il a été diagnostiqué comme tel aujourd'hui <eps> et i() on voilà on voit que à l' élysée on a envie d' y mettre bon ordre alors après	<eps> a été il a été enfin il a il a été diagnostiquée comme telle aujourd' hui et ils ont voilà on voit que à l' elysée on a envie d' y mettre bon ordre alors après	_
2697	alors		_
2698	et c' est pas évident (n)	<eps> c' est pas évident <eps>	_
2699	vous avez utilisé le mot de dysfonctionnement est ce que c' est pas plutôt une erreur de casting <eps> on peut se poser la question dans la mesure où je n' incrimine pas du tout la personnalité ou ou la méthode de jean marc ayrault mais françois hollande ayant cette relation directe franche et bilatérale avec ses min(istres)	avait <eps> utilisé le mot de dysfonctionnement est ce que c' est pas plutôt une erreur de casting mais on peut se poser la question dans la mesure où je voudrais krivine pas du tout la personnalité ou vous la méthode de jean-marc <eps> ayrault mais françois hollande ayant cette relation directe franche et bilatérales avec cinq ministres	_
2700	qui aime ça	m <eps> ça	_
2701	sûr même s' il la la semaine dernière expliquait que bon il fallait qu' il voit un petit peu moins les ministres du moins de manière un petit peu moins visible et bien forcément ça crée un un	<eps> même si <eps> la la semaine dernière expliquait que bon il fallait qui <eps> voit un petit peu moins les ministres du mois de manière un petit peu moins visible eh bien forcément ça crée un un	_
2702	je dirais pas un dysfonctionnement mais un déséquilibre plutôt institutionnel qui <eps> convenait parfaitement à l' ère sarkozy fillon puisque nicolas sarkozy était beaucoup plus actif mais qui aujourd'hui <eps> pose un vrai problème	je dirais pas un dysfonctionnement mais un déséquilibre plutôt institutionnel qu' il convenait parfaitement à l' ère sarkozy fillon puisque nicolas sarkozy était beaucoup plus actifs mais qui aujourd' hui pose un vrai problème	_
2703	mais là il y a des il <eps> réfléchissent même à l' élysée à des noms de remplaçants pour pour jean marc ayrault alors avec avec <eps> <eps>	<eps> là il y a dix ans y réfléchissent même à l' elysée a des noms de remplaçants pour pour jean-marc <eps> ayrault alors avec avec un calme	_
2704	ils y réfléchissent dans un calendrier long c' est à dire qu' ils y réfléchissent ils disent qu' ils peuvent rien faire avant les municipales donc rien	est réfugié <eps> dans un calendrier le onze heures <eps> <eps> <eps> ils y réfléchissent ils disent qu' ils peuvent rien faire avant les municipales donc rien	_
2705	oui mais ce qui est amusant c' est qu' ils <eps> y pensent maintenant c' est à dire	oui mais ce qui est amusant c' est qu' il n' y pense maintenant c' est à dire	_
2706	mais dans les ministères auss(i)	<eps> dans les ministères <eps>	_
2707	manuel valls il y pense par exemple pour	<eps> <eps> <eps> <eps> pense par exemple <eps>	_
2708	que lui oui mais enfin à l' élysée le nom de valls est res(sort) ressort pas mal et l(e) celui d' anne lauvergeon celui de gallois enfin je veux dire	<eps> lui oui mais enfin à l' elysée le nom de valser hausse <eps> ressort pas mal et je suis d' anne lauvergeon ensuite <eps> gallois enfin je dirais <eps>	_
2709	c' est des noms c' est des noms alors mais qui sont qui ne sont que des que des hypothèses qui viennent <eps> traduire finalement le problème ayrault voilà c' est à dire que ce qu' on ce qu' on nous dit enfin david je pense ne me contredira pas là dessus c' est qu' il y a un problème ayrault	et <eps> des noms <eps> <eps> des noms alors mais qui sont qui me semble que des que des hypothèses qui vient de traduire finalement le problème ayrault voilà c' est à dire que ce qu' on ce qu' on nous dit enfin david je pense que nous contredirait pas là dessus c' est qu' il y a un problème ayrault	_
2710	voilà nous <eps> nous retrouvons donc en direct du ministère du travail et et du dialogue social avant le journal de rachid m' barki je continuerai à à dialoguer avec michel sapin sur les mesures que le gouvernement prévoit pour lutter contre le chômage	voilà on ne nous retrouvons donc en direct du ministère du travail et et du dialogue social avant le journal de rachid m' barki je continuerai à à dialoguer avec michel sapin sur les mesures que le gouvernement prévoit pour lutter contre le chômage	_
2711	et justement on va en parler avec vous rachid (n) vincent peillon <eps> annoncé la création de quarante mille postes de professeurs l' année prochaine	et justement on va en parler avec vous rachida <eps> vincent peillon a annoncé la création de quarante milles postes de professeurs l' année prochaine	_
2712	oui dès l' année prochaine et un peu plus de la moitié de ces postes sera d' ailleurs <eps> un peu plus <eps> un peu plus de la moitié de ceux qui seront embauchés le sera pour remplacer les départs en retraite véronique fèvre	<eps> <eps> l' année prochaine <eps> un peu plus de la moitié de ces postes sera d' ailleurs le un peu plus d' un peu plus de la moitié de ceux qui seront embauchés <eps> sera pour remplacer les départs en retraite véronique fèvre	_
2713	l' austérité ça n' est pas pour l' éducation nationale quand les autres se serrent la ceinture le ministère lui recrute	l' austérité ça n' est pas pour l' éducation nationale quand les autres se serrent la ceinture le ministère lui recrute	_
2714	nous allons avoir à recruter près de quarante mille professeurs et donc mon gros problème c' est	nous allons avoir recruté <eps> près de quarante milles professeurs et donc mon gros problème c' est	_
2715	pour la rentrée deux mille treize	<eps> la rentrée deux milles treize	_
2716	dans les années là qui <eps> <eps> viennent il faut les trouver	<eps> les années la la folie trouver viennent il faut les trouver	_
2717	mais attention sur les quarante mille postes vingt deux mille sont des remplacements des départs en retraite reste donc en réalité dix huit mille nouveaux postes	<eps> attention sur les quarante milles postes vingt deux milles sont des remplacements des départs en retraite est donc en réalité dix huit milles nouveaux postes	_
2718	c' est un peu plus que les douze mille prévus chaque année il y a donc une légère accélération du rythme des embauches toutefois on ignore encore les détails comment vont se répartir ces recrutements	c' est un peu plus que les douze milles prévus chaque année il y a donc une légère accélération du rythme des embauches toutefois on ignore encore les détails comment vont se répartir ces recrutements	_
2719	sur les concours de novembre prochain ou novembre deux mille treize toutes ces questions sont renvoyées par le ministère à la présentation du budget la semaine prochaine les syndicats eux sont plutôt bienveillants mais mettent en garde le ministère sur le manque d' attractivité du métier	<eps> les concours de novembre prochain ou novembre deux milles treize toutes ces questions sont renvoyés par le ministère à la présentation du budget la semaine prochaine les syndicats eux sont plutôt bienveillants mais mettent en garde le ministère sur le manque d' attractivité du métier	_
2720	cette année nous l' avons bien vu il y a des concours où nous avons manqué <eps> de candidats dix sept à vingt pour cent de chute sur certains concours	cette année nous l' avons bien vu il y a des concours <eps> nous avons de manquer de candidate dix sept à vingt pour cent de chute sur certains concours	_
2721	c' est énorme et si nous ne mettons pas en place des dispositifs pour aider les étudiants à préparer ces concours et à les réussir nous allons avoir du mal à recruter ces jeunes dont nous avons vraiment besoin de la maternelle au lycée	c' est énorme ici <eps> nous ne mettons pas en place des dispositifs pour aider les étudiants à préparer ces concours et allez <eps> réussir nous allons avoir du mal à recruter ses jeunes dont nous avons vraiment besoin de la maternelle au lycée	_
2722	une attractivité qui passe aussi par une meilleure rémunération un dossier qui n' est pas à l' ordre du jour pour vincent peillon	<eps> attractivité qui passe aussi par une meilleure rémunération un dossier qui n' est pas à l' ordre du jour <eps> vincent peillon	_
2723	et réaction immédiate de l' ump avec jean françois copé qui <eps> crie au scandale budgétaire écoutez	<eps> réaction immédiate de l' ump avec jean-françois <eps> copé qui ne crie au scandale budgétaire écoutez	_
2724	je viens d' apprendre que vincent peillon annonçait quarante mille postes de professeurs supplémentaires en deux mille treize	vient <eps> d' apprendre que vincent peillon annonçait quarante milles postes de professeurs supplémentaires en deux milles treize	_
2725	je demande donc maintenant officiellement à françois hollande de siffler la fin de la récréation premièrement nous n' avons pas le premier euro pour financer cela	je demande donc maintenant officiellement à françois hollande de siffler la fin de la récréation premièrement nous n' avons pas le premier euro pour financer cela	_
2726	deuxièmement je demande à françois hollande de dire quels sont donc les postes des autres administrations qu' il va supprimer pour financer un tel niveau de recrutement il est en train de ruiner notre pays	deuxièmement je demande à françois hollande de dire quelles sont donc les postes des autres administrations qui <eps> va supprimer pour financer un tel niveau de recrutement <eps> est en train de ruiner notre pays	_
2727	jean françois copé dit n' importe quoi et ne sait pas compter c' est ce qu' à déclarer il y a quelques minutes sur bfm tv michel sapin le budget existe <eps> même ajouté le ministre du travail	jean-françois <eps> copé dit n' importe quoi il ne sait pas compter c' est ce qu' a déclaré il y a quelques minutes sur bfm tv michel sapin le budget existe a même ajouté le ministre du travail	_
2728	une délégation de salariés de psa reçue <eps> pendant un heure aujourd'hui <eps> à l' élysée françois hollande ne s' est certes pas engagé sur un gel du plan social annoncé au mois de juillet	une délégation de salariés de psa a reçu pendant une heure aujourd' hui à l' elysée françois hollande ne s' est certes pas engagé sur un gel du plan social annoncé au mois de juillet	_
2729	en revanche le chef de l' état a promis une négociation tripartite entre la direction les syndicats et l' état écoutez le délégué cgt de psa aulnay	<eps> revanche le chef de l' etat a promis une négociation tripartite entre la direction les syndicats et l' état écoutez le délégué cgt de psa aulnay	_
2730	on lui a demandé très clairement d' établir très très rapidement un calendrier de négociations tripartites ce sur quoi il s' est engagé là où on a obtenu aucun engagement de la part du chef de l' état	<eps> lui a demandé très clairement d' établir très très rapidement un calendrier de négociation tripartite ce sur quoi il s' est engagé là <eps> on a obtenu aucun engagement de la part du chef de l' etat	_
2731	c' est qui s' engage sérieusement à faire en sorte que le plan de licenciement soit gelé le temps de la négociation ça veut dire que pour nous ça c' est inacceptable c' est inacceptable parce que on peut pas négocier le couteau sous la gorge	<eps> <eps> qui s' engagent sérieusement à faire en sorte que le plan de licenciement soit gelé le temps de la négociation ça veut dire que pour nous ça c' est inacceptable c' est inacceptable parce que on peut pas négocier le couteau sous la gorge	_
2732	voilà des syndicats qui avaient demandé aux salariés de faire grève aujourd'hui <eps> et surtout de manifester aux abords de l' élysée	<eps> des syndicats qui avaient demandé aux salariés de faire grève aujourd' hui et surtout de manifester aux abords de l' elysée	_
2733	ils étaient environ huit cents selon en tout cas l' intersyndicale très encadrés par les policiers mais aussi très remontés ils n' ont pas vraiment pu approcher de de l' élysée et sont repartis dans le calme	ils étaient environ huit cents selon en tout cas l' intersyndicale très encadrée par les policiers mais aussi très remonté ils n' ont pas vraiment pu approcher de de l' elysée et sont repartis dans le calme	_
2734	demain est considéré comme une journée à haut risque pour les intérêts français dans certains pays une vingtaine de pays en tout ambassades consulats et écoles françaises y seront fermés	<eps> est considérée comme une journée à haut risque pour les intérêts français dans certains pays une vingtaine de pays en tout ambassades consulats et écoles françaises y seront fermés	_
2735	c' est d' ailleurs déjà le cas depuis hier en tunisie et même si le gouvernement tunisien a décidé tout à l' heure d' interdire les manifestations de ce vendredi	c' est d' ailleurs déjà le cas depuis hier en tunisie <eps> même si le gouvernement tunisien a décidé tout à l' heure d' interdire les manifestations de ce vendredi	_
2736	les expatriés français ont quand même beaucoup de craintes reportage johanne portal avec françois pitrel <eps> envoyés spéciaux de bfm tv en tu(nisie) à tu(nisie) en tunisie	les expatriés français ont quand même beaucoup de craintes reportage johanne portal avec françois pietra le envoyés spéciaux de bfm tv en tu as tu en tunisie	_
2737	pourquoi faut prendre ça	<eps> <eps> <eps>	_
2738	pour mettre ta pâte	mettent tapa <eps> <eps>	_
2739	pas d' école pour chloé à la place c' est atelier cuisine sa maman a dû lui expliquer pourquoi il n' y avait pas classe aujourd'hui <eps>	<eps> d' école pour chloé à la place ses ateliers <eps> cuisine sa maman a dû lui expliquer pourquoi il n' y avait pas classe aujourd' hui	_
2740	j' ai déjà commencé à lui lui demander pourquoi ton école est fermée y' a des méchants qui vont la brûler moi j' ai j' ai expliqué le le coup des dessins qui qui d' habitude font rire mais qu' en ce moment on sait très bien que ça ne fait pas rire ici en tunisie	jacques commence <eps> <eps> à me demande <eps> pourquoi l' école est fermée les <eps> <eps> méchants qui vont <eps> brûler moi j' ai j' ai expliqué le le coût des dessins qui qui d' habitude font rire mais qu' en ce moment c' est très bien que ça ne fait pas <eps> <eps> en tunisie	_
2741	pire pour florence installée en tunisie depuis cinq ans ces caricatures risquent de déstabiliser un peu plus le pays une semaine après les attaques violentes contre l' ambassade américaine	pire pour florence installé en tunisie depuis cinq ans ces caricatures risque de déstabiliser un peu plus le pays une semaine après les attaques violentes contre l' ambassade américaine	_
2742	c' était vraiment pas le bon moment du tout et j' étais vraiment en colère quoi parce que quand on voit ce qu' il s' est passé huit jours avant juste quelques jours après sortir c' est du marketing	<eps> était vraiment pas le bon moment du tout je t' es vraiment en colère quoi parce que quand on voit ce qui <eps> s' est passé huit jours avant juste quelques jours après sortir <eps> <eps> du marketing	_
2743	à la marsa où vivent de nombreux expatriés ce commerçant français aussi est en colère il a carrément lancé une pétition pour que charlie hebdo ne ressorte pas en kiosque ce vendredi	marsat <eps> <eps> où vivent de nombreux expatriés ce commerçant français aussi est en colère <eps> a carrément lancé une pétition pour que charlie hebdo ne ressortant kiosques <eps> <eps> ce vendredi	_
2744	il y a un mal qui a été fait mais je pense que si la france a l' intelligence de l' interdire ça peut calmer les choses	<eps> <eps> a amman <eps> qui était <eps> fait mais je pense que si la france à l' intelligence intervient <eps> <eps> ça peut calmer les choses	_
2745	et c' est vrai que là j' en appelle à la diplomatie française ou aux dirigeants français de faire une action et d' empêcher cette deuxième sortie pour pour pouvoir calmer les choses	et c' est vrai que là j' en appelle à la diplomatie française où on dirigeants français et faire rédaction <eps> et d' empêcher sa deuxième sortie pour <eps> pouvoir calmer les choses	_
2746	avec cette affaire des caricatures la communauté française entre crainte et agacement espère surtout qu' il n' y aura pas de débordements ce vendredi jour de prière dans les pays musulmans pour que dès lundi les établissements scolaires français du pays accueillent normalement les élèves	<eps> cette affaire des caricatures la communauté française entre crainte et agacement espère surtout qu' il n' y aura pas de débordement ce vendredi jour de prière dans les pays musulmans pour que dès lundi les établissements scolaires français du pays accueille normalement les élèves	_
2747	al qaïda au maghreb islamique menace de tuer les otages français enlevés au niger le groupe terroriste reproche en fait à paris d' avoir appelé à envahir le nord du mali tombé depuis quelques mois aux mains des islamistes le quai d' orsay s' est refusé pour le moment à commenter ces menaces	al qaïda au maghreb islamique menace de tuer les otages français enlevés au niger <eps> groupe terroriste reproche en fait à paris d' avoir appelé à envahir le nord du mali tombés depuis quelques mois au moins des islamistes le quai d' orsay s' est refusé pour le moment a commenté ces menaces	_
2748	valérie trierweiler devient ambassadrice de la fondation danielle mitterrand la compagne de françois hollande a inauguré aujourd'hui <eps> une vente aux enchères au profit de la fondation et elle a dit vouloir défendre les valeurs de l' ancienne première dame écoutez	valérie trierweiler devient ambassadrice de la fondation danielle mitterrand la compagne de françois hollande a inauguré aujourd' hui une vente aux enchères au profit de la fondation <eps> elle a dit vouloir défendre les valeurs de l' ancienne première dame écoutez	_
2749	je vais essayer de le faire du mieux possible il ne s' agit pas de se substituer	je vais essayer de le faire du mieux possible il ne s' agit pas de se substituer	_
2750	à la mémoire de danielle mitterrand il ne s' agit pas de me mesurer à danielle mitterrand ni même de me comparer il s' agit seulement de porter ses valeurs les valeurs qu' elle incarnait	<eps> la mémoire de danielle mitterrand il ne s' agit pas de me mesurer à danielle mitterrand ni même de me comparer il s' agit seulement de porter ses valeurs les valeurs qu' elle incarnait	_
2751	c' était une grande dame pour qui le mot engagement avait un sens pour qui le mot liberté avait un sens et j' y suis très sensible à ce mot là et au fait qu' elle ait associée celui de france et celui de <eps> <eps> <eps> liberté	<eps> était une grande dame pour qui le mot engagement avait un sens pour qui le mot liberté avait un sens et j' y suis très sensible à ce moment-là <eps> et au fait qu' elle est associée celui de france et ceux de l' île de liberté	_
2752	bonsoir à tous ravi de vous retrouver dans ça vous regarde regardez cette image un peu originale alors pas celle ci parce que c' est jean françois copé qui qui est au siège de l' ump mais l' autre regardez c' est bruno le maire avec une petite cagette orange qui va déposer	<eps> à tous ravi de vous retrouver dans ça vous regarde regardez cette image un peu originale alors pas celle-ci <eps> parce que c' est jean-françois <eps> copé qui qui est au siège de l' ump mais l' autre regarder c' est bruno le maire avec une petite cagettes orange qui va déposer	_
