BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
DANS LA PACIFICATION DES RELATIONS SOCIALES VOILÀ ÇA C' EST L' OBS EN REVANCHE POUR MARIANNE L' ACCORD EST À LA FOIS HISTORIQUE ET DÉCEVANT	DANS LA PACIFICATION DES RELATIONS SOCIALES OU LA SACELLOPSE EN REVANCHE POUR MARIANNE L'ACCORD EST À LA FOIS HISTORIQUE ET DÉCEVANT
(S)	MOI
POUR POUR DEUX RAISONS BON D' ABORD C' EST HISTORIQUE PARCE QUE COMME CLAUDE L' A DIT PERMETTRE À CES REPRÉSENTANTS DU PATRONAT ET DES SALARIÉS DE SIGNER UN ACCORD ÇA NOUS CHANGE DE LA MANIÈRE DONT LES CORPS INTERMÉDIAIRES DURANT LES CINQ DERNIÈRES ANNÉES ONT ÉTÉ FOULÉS AUX PIEDS	POUR POUR DEUX RAISONS BON D'ABORD CETTE HISTORIQUE ET CE COMME CLAUDE LADIE PERMETTENT À SES REPRÉSENTANTS DU PATRONAT DES SALARIÉS DE SIGNER UN ACCORD ÇA NOUS CHANGE DE LA MANIÈRE D LES CORPS INTERMÉDIAIRES DURANT LES CINQ DERNIÈRES ANNÉE FOULÉS AU PIED
QUA(SIMENT) QUASIMENT NIÉS DONC LÀ TOUT À COUP C' EST UN PROGRÈS ET DE CE POINT DE VUE LÀ C' EST HISTORIQUE PAR CONTRE LE CONTENU DE L' ACCORD LUI IL POSE DES TAS DE QUESTIONS D' ABORD EST CE QUE CET ACCORD EST DE NATURE À MODIFIER COMPLÈTEMENT L' ÉTAT DU MARCHÉ DU TRAVAIL ET DONC	QUASI QUASIMENT NIÉ DONC LA TOUT ÀCOUSSE EST UN PROGRÈS ET DE SCANDULAT CETTE HISTORIQUE PAR CONTRE LE CONTENU DE L'ACCORD LUI Y POSE DES TEINTES QUESTIONS D'ABORD EST QUE CET ACCORD ET DE NATURE A MODIFIÉ COMPLÈTEMENT L'ÉTAT DU MARCHÉ DU TRAVAIL ET DONC
À INVERSER COMME LE SOUHAITE LE PRÉSIDENT DE LA RÉPUBLIQUE LA COURBE DU CHÔMAGE NON ET ALORS LÀ VOUS POUVEZ ALLER AU MEDEF CHEZ LES PATRONS CHEZ LES SALARIÉS TOUT LE MONDE VOUS DIRA NON EST CE QU' IL Y A DES AMÉLIORATIONS OUI INDISCUTABLEMENT MAIS ELLES SERONT EXTRÊMEMENT DIFFICILES	À INVERSER COMME LE SOI TE PRE SENT LA BUIT LA COURSE DU CHÔMAGE NON ALORS L A POUR ALLER OMEDEF CHEZ LES PATRON CHEZ LES SALARIÉS TOUT LE MONDE OU DIRA NON ES QU A DES AMÉLIORATIONS OUI INDISCUTABLEMENT MAIS ELLES SONT EXTRÊMEMENT DIFFICILES
À METTRE EN MUSIQUE D' UN POINT DE VUE LÉGISLATIF ET ENCORE PLUS DIFFICILE À APPLIQUER AUSSI BIEN D' AILLEURS LES MESURES QUI QUI SONT DE RÉELLES AVANCÉES POUR LES SALARIÉS JE PENSE PAR EXEMPLE AUX COMPLÉMENTAIRES SANTÉ AUX DROITS RECHARGEABLES AU CHÔMAGE ET CETERA	À METTRE EN MUSIQUE D'UN POINT DE VUE LÉGISLATIF ET ENCORE PLUS DIFFICILE À APPLIQUER AUSSI BIEN D' AILLEURS LES MESURES QUI SONT DE RÉELS AVANCÉS POUR LES SALARIÉS JE PENSE PAR EXEMPLE COMPLÉMENTAIRES SANTÉ AU DROIT RECHARGEABLE AU CHÔMAGE ETC
ET POUR LE LE LE PATRONAT LA SÉCURISATION JURIDIQUE COMME ON DIT DES PLANS SOCIAUX ÇA ÇA ÇA VEUT DIRE QUELQUE CHOSE ÇA VEUT DIRE QU' ON VA POUVOIR LICENCIER CET ACCORD LÀ IL EST PEUT ÊTRE FORMIDABLE DANS UNE PÉRIODE DE CROISSANCE JE NE SUIS PAS CERTAIN	ET POUR LE PATRONAT LA SÉCURISATION JURIDIQUE COMMANDIE DES PLOMBS SOCIAUX ÇA VEUT DIRE QUELQUES CHOSES À VIE À QUOI POUVOIR LICENCIER CET ACCORDLA IL EST PEUT ÊTRE FORMIDABLE DANS UNE PÉRIODE DE C CROISSANCE JE NE SUIS PAS CERTAIN
QU' IL SOIT AUSSI POSITIF DANS UNE PÉRIODE OÙ ON VA DE FERMETURES D' USINES EN PLANS SOCIAUX ET DE SUPPRESSIONS D' EMPLOI EN SUPPRESSIONS D' EMPLOI	QU ILS SOIENT AUSSI POSITIFS DANS UNE PÉRIODE OÙ ON VA DE FERMETURE D USINE EN PLAN SOCIAUX ET DE SUPPRESSION D EMPLOI SUPPRESSIONNANT PAR UNE PÉRIODE OÙ ON VA DE FERMETURE D USINE EN PLAN SOCIAUX ET DE SUPPRESSION D EMPLOI SUPPRESSIONNANTE
A TOTALEMENT RAISON C' EST QUE CET ACCORD PORTERA VRAIMENT SES FRUITS EN PÉRIODE DE DE	CET ACCORD PORTERA VRAIMENT SES FRUITS EN PAIRE DEDE
ALORS ON PEUT LIRE DANS LE POINT QUE CET ACCORD DU ONZE JANVIER RESTE « UNE RARETÉ BIENVENUE DANS UN PAYS RÉTIF AUX NÉGOCIATIONS ET AUX COMPROMIS » GUILLAUME VOTRE AVIS	CET ACCORD DU HAUT JANVIER RESTE UNE RARETÉ BIENVENUE DANS UN PAYS RÉTIF AUX NÉGOCIATIONS ET AU COMPROMIS GUILLAUME VOTRE
OUI ET SI ON FAIT DE LA POLITIQUE DEUX MINUTES ÇA VA D' AILLEURS ÊTRE INTÉRESSANT POUR LA SUITE DES ÉVÉNEMENTS PUISQUE VOUS SAVEZ QUE LA RÈGLE C' EST QUE DÈS LORS QUE LES PARTENAIRES SOCIAUX ONT RATIFIÉ UN ACCORD DE CE TYPE LE PARLEMENT LE REPREND À SON COMPTE CE QUI VEUT DIRE QU' UNE MAJORITÉ DE GAUCHE VA VALIDER	SI ON FAIT LA POLITIQUE DE MINUTES ÇA VA D'AILLEURS ÊTRE INTÉRESSANT POUR LA SUITE DES ÉVÈNEMENTS PSCUS AVEC LA RÈGLE C'EST QUE DÈS LORS QUE LES PARTENAS SOCIAUX RATIFIENT UN ACCORD DE CE TYPE LE PARLEMENT LE REPREND À SON COMPTE CE QUI VIRE QU'UNE MAJORITÉ DE GAUCHE VA VALIDER
UN ACCORD QUI A ÉTÉ SIGNÉ PAR LE MEDEF ET REFUSÉ PAR LA CGT CE QUI EST INTÉRESSANT CONCEPTUELLEMENT ET CE QUI VA VERS CE QUI EFFECTIVEMENT EST COHÉRENT AVEC LE LE LE LE LA DÉFINITION DU TYPE SOCIAL DÉMOCRATE QUE SERAIT LE HOLLANDISME AUJOURD'HUI	UN ACCORD QUI A ÉTÉ SIGNÉ PAR LE MEDEF EST REFUSÉ PAR LA SOCIÉTÉ SKATE INTÉRESSANT CONCEPTUELLEMENT ET CE QUI VAVAIRE S QUI FITEMENT ET COHÉRENT AVEC LE LA DÉFINITION DE TÊTES SOCIAL DÉMOCRATES QUE SAURAIT LE HOLLANDISME AUJOURD'HUI
MOI LA QUESTION QUE JE ME POSE C' EST JE SUIS D' ACCORD AVEC LAURENT UNE ÉCONOMIE L' ÉCONOMIE FRANÇAISE PARDON ELLE ELLE ELLE COMMENCE À CRÉER LES EMPLOIS AU DESSUS DE UN POUR CENT DE CROISSANCE ET LE CHÔMAGE COMMENCE À BAISSER AU DESSUS DE UN ET DEMI	MOI LA QUESTION QUE JE ME PENSAIS JE SUIS L'ACCORD AVEC LAURENT UNE ÉCONOMIE L'ÉCONOMIE FRANÇAISE PAR DONT ELLE ELLE COMMENCE À CRÉER LES EMPLOIS AUTUS DE L'IMPORTANTE CROISSANCE ET LE CHÔMAGE COMMENCE À BAISSER AU SUD À L'ENNEMI
POURQUOI PARCE QUE AVANT LE L' ENTRÉE SUPPLÉMENTAIRE DE GENS QUI ARRIVENT SUR LE MARCHÉ DU TRAVAIL FAIT QUE LE CHÔMAGE NE BAISSE PAS ON EST TRÈS LOIN DES UN ET DEMI POUR CENT DONC OUI C' EST UN C' EST UN BON C' EST UN BON PAS C' EST UN PETIT PAS	PRESQUE AVANT LE L ENTRÉE SUPPLÉMENTAIRE DE GENRE QUI ARRIVE SUR LE MARCHÉ LE TRAVAIL FAIT QUE JEUACHE LE BESPIN ON EST TRÈS LOIN ET À ENNEMI POUR SORTS OUI C EST UN PSETINBON C EST UN BON PAS C EST UN PETIT PEINT
LA QUESTION C' EST L' ÉCONOMIE FRANÇAISE PEUT ELLE SE CONTENTER DE PETITS PAS C' EST À DIRE CE CE PARITARISME CETTE COGESTION DONT ON SE RÉJOUIT À JUSTE TITRE D' UN POINT DE VUE CONCEPTUEL EST CE QUE ELLE EST PAS TROP TIMIDE EST CE QU' ELLE EST À LA HAUTEUR DE LA CRISE	LA MISSION SAIT L'ÉCONOMIE FRANÇAISE POTALE SE CONTENTAIT DE PETITS PAS C'EST À DIRE CE CE PARITARISME À CETTE CONGESTION DONT ON SE RÉJOUIT À JUSTETIQUE LA POINTUE CONCEPTUEL EST CE QUE ELLE EST PAS TROP TIMIDE ES QU'ELLE EST À LA HAUTEUR DE LA COUPE CONCEPTUEL EST CE QUE ELLE EST PAS TROP TIMIDE ES QU'ELLE EST À LA HAUTEUR DE LA CRITIQUE
ET MOI CE QUE JE CRAINS C' EST QUE EN EN EN EN LAISSANT AINSI LES PARTENAIRES SOCIAUX F(AIRE) AVANCER À LEUR RYTHME C' EST À DIRE CELUI DES PETITS PAS ON N' A ON N' EN FASSE PAS ASSEZ ET QUE CE SOIT PAS SUFFISANT	MOI CE QUE JE CRINS C'EST QUE EN ONT LAISSANT AINSI L'APPARTEMENT SOCIAUX AVANCÉ À LORI CHEZ FA DIRE CELUI DES PETITS PAS ON A EN ENFANCE PAS ASSEZ ET QUE CE SOIT PAS SUFFISANT
MAIS DANS VOTRE PROPRE JOURNAL IL A SOUVENT ÉTÉ ÉCRIT ET LE LE LE L' ARGUMENT A BEAUCOUP ÉTÉ DÉVELOPPÉ PAR LES ÉCONOMISTES QUE SI LA FRANCE PERDAIT DES PARTS DE MARCHÉ À L' EXPORTATION SI L' EF L' ÉCONOMIE FRANÇAISE S' AFFAISSAIT C' EST PARCE QU' IL Y AVAIT DEUX GROS SYMPTÔMES	MAIS DANS VOTRE PROPRE JOURNAL IL A SOUVENT ÉTÉ ÉCRIT ET LE PLUS LARGEMENT BEAUCOUP ÉTÉ DÉVELOPPANT S'IL LÈVE L'ÉCONOMIE FRANÇAISE S'AFFASSÉE S'EST PASSE QU'AVEC DEUX GROS SYMPTÔMES
LE PREMIER C' ÉTAIT LE MANQUE DE COMPÉTITIVITÉ COÛT DU TRAVAIL TROP ÉLEVÉ LE SECOND C' ÉTAIT UN CODE DU TRAVAIL TROP RIGIDE ET BIEN CE GOUVERNEMENT DE GAUCHE ET JE SUIS DÉSOLÉ C' EST LUI QUI L' A FAIT QUI A EU LE COURAGE DE LE FAIRE ET POUR LUI C' ÉTAIT PAS SIMPLE A MIS EN EN CHANTIER ALORS VOUS POUVEZ TOUJOURS TROUVER QUE C' EST PAS ASSEZ	LE PREMIER C'ÉTAIT LE MANQUE DE COMPÉTITIVITÉ COUP DU TRAVAIL EST TROP ÉLEVÉ LE SECOND S'ÉTAIT ENCORE DU TRAVAIL TROP RIGIDE ET BIEN SOUS GOUVERNEMENT DE GAUCHE ET JE DÉSOLAIS C'EST LUI QUI L'A FAIT QUE LE COURAGE DE FER ET POUR LUI S'ÉTAIT PAS SIMPLE À MIONS EN CHANTIER ALORS POINT SURTOUT QUI S'EST PASSÉ
LA BAISSE DU COÛT DU TRAVAIL	L ABBESSE DU GOÛT DU TRAVAIL
VINGT MILLIARDS DE REMBOURSÉS AUX ENTREPRISES SUR LES CHARGES SALARIALES ET L' A(SSOUPLISSEMENT) L' ASSOUPLISSEMENT DU CODE DU TRAVAIL	UN MILLIARDE REMBOURSÉ AUX ENTREPRISES SUR LES CHARGES SALARIALES ET L'ASSOUPISSEMENT DU CODE DU TRAVAIL
(H) ELLE FAIT UNE CAMPAGNE ÉLECTORALE VOUS VOYEZ ELLE ELLE A PRIS LA	BALF ET UNE CAMPAGNE ÉLECTORALOYENNE LA PRIEUR
EXACTEMENT LA LA MÊME STRATÉGIE QU' UN QU' UN HOMME POLITIQUE EN CAMPAGNE POUR ESSAYER DE PARLER À SES ÉLECTEURS ALORS ELLE FAIT BEAUCOUP DE DÉPLACEMENTS EN PROVINCE ALORS ELLE DIT QUE C' EST POUR EXPLIQUER	EXACTEMENT LA MÊME STRATÉGICA QU'UN HOMME POLITIQUE EN CAMPAGNE POUR ESSAYER DE PARLER À CES ÉLECTEURS A ELLE FAIT BEAUCOUP DE DÉPLACEMENTS EN PROVINCE RÉALDIX ET POUR EXPLIQUER
L' ACCORD FLEXISÉCURITÉ EN RÉALITÉ C' EST POUR MENER SA CAMPAGNE PARCE QU' EN FAIT ELLE A UNE DOUBLE CAMPAGNE À MENER D' ABORD UNE PREMIÈRE CAMPAGNE POUR JUSTIFIER	L ACCORD FLEXI SÉCURITÉ EN A ÉTÉ SI POUR MENER SA CAMPAGNE EN FAIT ELLE UNE DOUBLE COMPAGNONNÉE D ABORD UNE PREMIÈRE CAMPAGNE POUR JUSTIFIER
QUE LES STATUTS DOIVENT ÊTRE CHANGÉS	QUE LES STATUES DOIVENT ÊTRE CHANGÉES
ÇA C' EST LE CÔTÉ POUTINE AU MEDEF	ASSEZ LE CÔTÉ PUTTI NOVEDEV
PAR EXEMPLE	PAR EXEMPLE
JE FAIS UN PUTSCH JE CHANGE LES STATUTS JE VAIS PROLONGER MA PRÉSIDENCE	BOUT JE CHANGER STATUT J AI PROLONGÉ MA PRÉSIDENCE
(S)TATUTS M' A(LLAIENT)	D'HUMAINS
PAS LE MÊME POIDS QUE POUTINE ET	ELLE MÊME BOÎTE POUTINE
ET LES STATUTS DOIVENT	LES STATUTS D'OI
LIBÉRALISME ONT DES AVANTAGES QU(AND) SAUF QUAND ILS S' APPLIQUENT À SOI	LIBÉRALISME ONT DES AVANTAGES QUE SAUF QUAND ILS S'APPLIQUENT À SOIT SOI
PAS DIT OFFICIELLEMENT ENCORE QU' ELLE ÉTAIT CANDIDATE	RADIO OFFICIELLEMENT EN QUALITÉ CANDIDATE
ÇA NE VOUS A PAS FRAPPÉ	VOUS A PAS FRAPPÉ
PRENEZ LA CARTE DE SES DÉPLACEMENTS ET RETROUVEZ CELLES QUE NICOLAS SARKOZY FAISANT FAISAIT PENDANT LA CAMPAGNE C' EST LA MÊME ELLE VA À RUNGIS ELLE VA DANS LES MÊMES ENTREPRISES ELLE VA DANS LES MÊMES LIEUX C' EST EXACTEMENT PAR(EIL)	PRENEZ LA CARTE DE SES DÉPLACEMENTS ET RETROUVAIT CELLES QUE NICHOLAS SARKOZYVES EN FAISAIT POUR LA CAMPAGNE CELA MÊME HEL BARRAGIES S'ÉVAIENT DANS LES MÊMES ENTREPRISES ET UN NONIO S'EXACTEMENTS
CAMPAGNE ÉLECTORALE	ACCOMPAGNER GRÂCE
ÇA SE FINISSE PAR LE MÊME RÉS(ULTAT)	PHASE PHILIS PAR LE MÊME RH
RAISONS QUI POUSSERAIENT LAURENCE PARISOT À S' ACCROCHER À SON POSTE SES ADVERSAIRES SE DÉCHAÎNENT PEUT ON LIRE DANS LE FIGARO MAGAZINE ELLE NE SAURAIT TOUT SIMPLEMENT PAS QUOI FAIRE APRÈS	ELLES NE SAURAIENT TOUT SIMPLEMENT PAS QUOI FAIRE APRÈS
(H) POURTANT ELLE EST PATRONNE D' UN INSTITUT DE SONDAGE L' IFOP	MAIS POURTANT LES PATRONNE MOINS D'UN INSTITUTION D'UN JUIFT
APPAREMMENT ELLE N' A PAS TROP ENVIE D' Y RETOURNER (N)	A VRAIMENT ET LE PATRON ONT VI DIRE TOURNÉ
(I) JE SUIS	MOI JE SUIS
ÇA VOUS	AVEZ VOUS VOS A
JE SUIS UN PEU ÉTONNÉ QUE APRÈS S' ÊTRE ACCOMMODÉE AVEC DES STATUTS QU' ELLE A CONTRIBUÉ À FAIRE VOTER ELLE DISE QUE FINALEMENT ÇA NE LUI VA PAS DU TOUT ET QU' IL FAUT QU' ELLE REPARTE POUR UN MANDAT COMPLET	JE SUIS UN PEU ÉTONNÉ PEU APRÈS S'ÊTRE ACCOMMODÉ À DES STATUES QU'ELLE A CONTRIBUÉ À FAIRE VOTER LORSQU'ELLEMENT CE N'A PAS DU TOUT ET QUI FAUT QU'ELLE REPART POUR UN MANDAT COMPLET
C' EST À PEU PRÈS CE QU' ON REPROCHAIT À TOUS SES PRÉDÉCESSEURS NOTAMMENT LE BARON SEILLIÈRE EN DISANT IL EST LÀ DEPUIS TROP LONGTEMPS IL FAUT MAINTENANT QU' IL PARTE ELLE ÉTAIT LA PREMIÈRE À LE DIRE UN COUP DE SANG « IL FAUT MAINTENANT UNE FEMME IL FAUT DES JEUNES IL FAUT DU SANG NEUF » IL FAUT TOUT CE QU' ON VEUT	CHERVE PRESQUE REPROCHAIT À TOUS SES PRÉDÉCESSEURS NOTAMMENT LE BARONCELLIEN EN LYDANT ET LAPI TROP LONGTEMPS MAINTENANT QUIPARTE ELLE ÉTAIT LA PREMIÈRE AL DIRE EN COUTSEN IL FAUT MAINTENANT UNE FAMILLE FODÉ JEUNE Y FONT DU SON NEUF IL FAUT TOUT CE QU'ON VEUT
ET LÀ ELLE EST LÀ DEPUIS MAINTENANT HUIT ANS PARCE QU' IL FAUT DIRE QUE LES MANDATS DU LE LE LES STATUTS DU MEDEF SONT PARTICULIERS JE CROIS QUE LE PREMIER MANDAT C' EST CINQ	HÉLAS ET L'APPUI MAINTENANT HUIT ANS SCORPHODIQUES DEMANDA VIOLEIL LES CETTE MINUTE EN PARTICULIER SUR LES PREMIERS MANDATS ESSASSINS
TROIS ANS HUM ET (H) ALLEZ COMPRENDRE POURQUOI LE DEUXIÈME N' EST PAS DE LA MÊME LONGUEUR QUE LE PREMIER BON ALORS MAINTENANT ELLE VEUT EN REPRENDRE ELLE VEUT EN REPRENDRE POUR DEUX ANS BON C' EST QUAND MÊME TRÈS BIZARRE ÇA NE SENT PAS TRÈS BON C' EST PAS TRÈS FAIR PLAY	L'ALGÉRIE COMPREND POURQUOI LE DEUXIÈME ET PAR LA MÊME LONGUEUR QUE LE PREMIER MONT H LEUR M'ATTANT ELLE VEUT EN PRENDRE ÉLEVEUR BRANDE POUR DEVENANT C'EST QUANDEN TRÈS BIZARRE CHERCHANT PAS TRÈS FAIRE PLAÎT
ET PUIS BON JE SUIS PAS CERTAIN QUE LAURENCE PARISOT	ET PUIS BON JE SUIS PAS CERTAIN QUE LANCE PARISOT
AIT ÉTÉ ET LAISSE DANS L' HISTOIRE UN IMMENSE TRACE UNE IMMENSE TRACE COMME PATRONNE DE	E TAIT IL LAISSE DANS L HISTOIRE UN IMMENSE TRACE UNE IMMENSE THRASE COMME PATRONNE DE
BILAN DE HUIT ANS DE PARISOT	LORS DE HUIT COMPARAISONS
ET C' EST LÀ DESSUS QUE J' ÉMETTRAIS PEUT ÊTRE UN CORRECTIF JE NE JE SUIS COMME VOUS JE M' EN FOUS COMME DISAIT CLEMENCEAU	C'EST LA SUCCESSION D'ÉMETTRAIT D'ÊTRE UN CORRECTIF JE NE SUIS SOUS COMME VOUS DE MOI FOU COMME DES E CLÉMENCEAUX
JE NE SUIS PAS MOI MÊME PATRON JE N' AI PAS D' OPINION TRÈS ARRÊTÉE SUR SUR EFFECTIVEMENT C' EST PAS TRÈS FAIR PLAY COMME VOUS DITES DE VOULOIR CHANGER MAIS JE NE CROIS PAS QUE SON BILAN SERA CONSIDÉRÉ COMME INCONSISTANT JE PENSE QU' ELLE A ÉTÉ UNE BONNE PATRONNE DES PATRONS	EFFECTIVEMENT C'EST PAS TRÈS ARRÊTÉE S'EST RESSURÉE EFFECTIVEMENT C'EST PAS TRÈS ARRÊTÉE S'EST RESSURÉE EFFECTIVEMENT SES PAS TRÈS ARRÊTÉS S Y RESSURÉES EFFECTIVEMENT SES PAS TRÈS FERMÉES COMME VOUS DITES DE VOULOIR SAUVER MAIS JE NE CROIS PAS QUE SON BILAN SERA CONSIDÉRÉ COMME UN LOGISTE JE PENSE QU'ELLE ÉTAIT UNE BONNE PATRONNE DES PATRONS
JE PENSE QU' ELLE A ÉTÉ RELATIVEMENT ACCOMMODANTE AU DELÀ D' D' D' UNE D' UNE D' UNE FERMETÉ VERBALE QUE RE(LEVAIT) QUE RELEVAIT LAURENT JE PENSE QUE ÇA A ÉTÉ UNE PERSONNE DE COMPROMIS	JE PENSE QU'ELLE A ÉTÉ RELATIVEMENT ACCOMMODANTE AU DELÀ DE DEUX D'UNE D'UNE FERMETÉ VERBALE QUE RELEVAIT L'ORANGE PENSE QU'ELLE S'ATTAIT UNE PERSONNE DE COMPRONIS
QU' ELLE A RÉUSSI À NOUER AVEC UN CERTAIN NOMBRE DE LEADERS SYNDICAUX NOTAMMENT HIER CHÉRÈQUE AUJOURD'HUI BERGER UNE VRAIE RELATION DE CONFIANCE QUI A AIDÉ À BOUGER LES LIGNES QUI A QUI A MODIFIÉ LE CLIMAT DES RELATIONS SOCIALES EN FRANCE ET JE NE SUIS PAS DU TOUT QUE L' HISTOIRE LA RETIENDRA	QU'ELLE A RÉUSSI À NOUER AVEC UN SANG DE LEADER SYNDICAUX NOTAMMENT HIER SCHEREK AUJOURD'HUI BERGER UNE VRAIE RELATION DE CONFIANCE QUI A AIDÉ À BOUGER LES LYNKAFKHS MODIFIER LE CLIMAT DES RELATIONS SOCIALES EN FRANCE ET JE NE SUIS PAS DU TOUT QUE L'HISTOIRE LA RETIENDRAIENT MODIFIER LE CLIMAT DES RELATIONS SOCIALES EN FRANCE ET JE NE SUIS PAS DU TOUT QUE L'HISTOIRE LA RETIEND
QU' IL Y A DANS LE FIGARO MAGAZINE UNE DERNIÈRE CHOSE ET PUIS VOUS RÉAGISSEZ DERRIÈRE LA BATAILLE POUR OU CONTRE PARISOT SE CACHE UN AUTRE ENJEU PLUS ESSENTIEL À QUOI SERT LE MEDEF	IL Y A D'EN FIGURE MAGAZINE UNE DERNIÈRE CHOSE PUIS VOUS RÉAGISSER DERRIÈRE LA BATAILLE POUR EN CONTRE PARISOT SE CACHE UN AUTRE ENJEU PLUS ESSENTIEL À CRASSER LE MÉDECIN
À FAIRE AIMER LES ENTREPRISES OU À DÉFENDRE PIED À PIED LEURS INTÉRÊTS	À FAIRE AIMER LES ENTREPRISES OU À DÉFENDRE PIEDS À PIED LEURS INTÉRÊTS
MOI ÇA ME CHOQUE PAS VOILÀ DE DIRE ÇA ÇA	MOI SAMSHOPA VOILÀ LE DIEUDYERSASS
DIS QUE SI	SIX SIGNES
CE QUI ME CHOQUE SIMPLEMENT C' EST LA QUESTION CENTRALE EST CE QUE LE MEDEF EST REMP EST EST	ME CHOQUE SIMPLEMENT C EST LA QUESTION CENTRALE ET CE QUE LE MÉDEC EST RAMPÉ
DE DU TISSU DES DES ENTREPRISES EN FRANCE LA RÉPONSE EST NON ON LE SAIT TOUTES LES PME LES PETITES ENTREPRISES LES COMMERÇANTS LES ARTISANS LES LES LES TPE CE QU' ON APPELLE LES TOUTES TOUT ÇA NE SE RECONNAÎT ABSOLUMENT PAS DANS DANS DANS LE MEDEF	DE DU TISSU DES ENTREPRISES ENFANTS L'ARRÊTONS ET NON ON LE SAIT TOUTE L'ÉPÉE MEULEPTIDES ENTREPRIS LES COMMERÇANTS LES ARTISANS L'ARRÊTONS ET NON ON LE SAIT TOUTE L'ÉPÉE MEULEPTIDES ENTREPRIS LES COMMERÇANTS LES ARTISANS L'ARRÊTONS ET NON ON LE SAIT TOUTE L'ÉPÉE MEULEPTIDES ENTREPRIS LES COMMERÇANTS LES ARTISANS L'ARRÊTONS ET NON ON LE SAIT TOUTE L'ÉPÉE MEULEPTIDES ENTREPRIS LES COMMERÇANTS LES ARTISANS L'ARRÊTONS ET NON ON LE SAIT TOUTE L'ÉPÉE MEULEPTIDES ENTREPRIS LES COMMERÇANTS LES ARTISANS L'ARRÊTONS ET NON ON LE SAIT TOUTE L'ÉPÉE MEULEPTIDES ENTREPRIS LES COMMERÇANTS LES ARTISANS L'ARRÊTONS ET NON ON LE SAIT TOUTE L'ÉPÉE MEULEPTIDES ENTREPRIS LES COMMERÇANTS LES ARTISANS L'ARRÊT
LE MEDEF C' EST LE SYNDICAT DES GRANDES ENTREPRISES POINT C' EST TOUT ET D' AILLEURS LES INTÉRÊTS PARTICULIERS QUI SONT DÉFENDUS CE SONT CEUX LÀ	LE MEDEF C'EST LE SYNDICAT DES GRANDES ENTREPRISES POINTS C'EST TOUT ET D'AILLEURS LES INTÉRÊTS PARTICULIERS QUI SONT DÉFENDUS CE SONT CELA
ET QUAND ON FERA LE BILAN DE LAURENCE PARISOT ON VERRA QU' ELLE A BEAUCOUP TRAVAILLÉ SUR LES QUESTIONS DE DE SALAIRES DE TRANSPARENCE DE CONSEILS D' ADMINISTRATION POURQUOI	ET QUANTAUFRAL BILON DE LAURENCE PARISOT ON VERRA QU'ELLE A BEAUCOUP TRAVAILLÉ SUR LES QUESTIONS DE DE SALAIRE DE TRANSPARENCE DE CONSEIL D'ADMINISTRATION POURQUOI
POUR MAINTENIR TOUS LES AVANTAGES ACQUIS ET LÀ DE CE POINT DE VUE LÀ ELLE A DÉFENDU LES INT(ÉRÊTS)	POUR MAINTENIR TOUS LES AVANT D'AJAKKI ET LA DE SPANDULAL A DÉFENDU LES INSTANTS D'AJAKI ET L'ADE SPENDULALE A DÉFENDU LES INSTANTS D'AJAKI ET LA DE SPANDULAL A DÉF
L' ULTRA LIBÉRALISME ET TENDRE LA SÉBILE DÈS QUE ÇA VA MAL JE TROUVE QU' ELLE N' A PAS BEAUCOUP DONNÉ NI DANS DANS CET EXCÈS NI DANS L' AUTRE	ET TENDRE LA SÉRIE D'EXAVAMALES JE TROUVE QU'ELLE N'A PAS BEAUCOUP DONNÉ DIX CENTENDANTS S'ÉTAIT EXCELLENT DANS L'AUTRE
BIEN	BIEN
ACCORD SUR LA FLEXISÉCURITÉ	L'ACCORD SUR L'AFFECTIF SÉCURIT
TEMPS SANS DIS(CONTINUER)	LE CENTRE
MESSIEURS POINT TROP N' EN FAUT MERCI BEAUCOUP MERCI ON A LE TEMPS POUR LE COUP D' OEIL SUR LE DESSIN COMME ÇA EN PASSANT BIASSU DANS LE POINT REGARDEZ PETIT DESSIN RIGOLO SALON DE L' AGRICULTURE DEUX MILLE TREIZE MÉFIEZ VOUS DES IMITATIONS VOILÀ C' EST BIEN VU C' EST RIGOLO	MES YEUX POITRAUX NON FAUX MERCI BEAUCOUP MERCI ON A LE TEMPLECODOIL SUR LE DESSIN COMME ÇA EN PASSANT BIEN SÛR DANS LE POINT REGARDÉ PETIT DESSIN RIGOLO SALON DE L AGRICULTURE DE VILLE TREIXE MÉFIEZ VOUS DÉLIMITATION VOILÀ ASSEZ BIEN VUE CES RIGOLOS
C' EST FRAIS C' EST LÉGER ON AIME LES DESSINATEURS POUR ÇA PAS D' ÉMISSION LA SEMAINE PROCHAINE ON SE RETROUVE DONC DANS QUINZE JOURS	SES FRÈRES ET LÉGERS ONT MÊME LES DESSINATEURS POUR ÇA PAS D'ÉMISSION L'ASPHONE PROCHAINE ON SE RETROUVE DONC DANS QUINZE JOURS POUR ÇA PAS DÉMISSION LA SEINE PROCHAINE ON SE RETROUVE DONC DANS QUINZE JOURS
LE DONC PAS DE CRAVATE LE LE WEEK END PROCHAIN	LA CRAVATE LE WEEK END PROCHAIN
