BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	SONT NÉCESSAIRES FEMMES SOURIS EN DIRECT JUSQU À À DIX NEUF HEURES
MAIS VOUS POINTEZ AUSSI LES PROBLÈMES DE FOND VOILÀ AU AU SEIN DE DE LA MAJORITÉ PAR EXEMPLE QUAND CLAUDE BARTOLONE LE PRÉSIDENT DE L' ASSEMBLÉE NATIONALE DIT LES TROIS POUR CENT C' EST CE ÇA RIME À RIEN ON Y ARRIVERA PAS POUR DEUX MILLE TREIZE LE LE DE DE RÉDUIRE LE DÉFICIT À TROIS POUR CENT	MAIS VOUS POINTEZ AUSSI LES PROBLÈMES DE FAUX VA À NOUVEAU AU SEIN D EUX DE LA MAJORITÉ PAR LES ANGLOCLES BARTHOLON LE PRÉSIDENT DE L ASSEMBLÉE NATIONALE DIT LES TROIS POURCENT CES S ARRIMARIENS N ARRIVERA PAS À OBTENIR TREIZE LE DE RÉDUIRE LE DÉFICIT À TROIS POURCENT
OUI ALORS CLAUDE BARTOLONE AU MOINS IL A IL N' A PAS FAIT PARTIE DE CEUX QUI IL Y A SIX MOIS NOUS ONT DIT QUE LES TROIS POUR CENT C' ÉTAIT LE DOGME INDÉPASSABLE C' ÉTAIT LE GRAAL QU' IL FALLAIT POURSUIVRE ET QU' IL N' Y AVAIT PAS D' ÉCO(NOMIE) DE POLITIQUE ÉCONOMIQUE RAISONNABLE SANS CES TROIS POUR CENT	LUI ALORS UN CLAUDE BARTHOLONE AU MOINS IL AVAIT IL N A PAS FAIT PARTIE DE CEUX QUI A SIX MOIS NOUS ONT DIT QUE LES TROIS POURCENT C ÉTAIENT LE DOGME INDÉPASSABLE C ÉTAIT LE GRAAL QUI FALLAIT POURSUIVRE ET QU IL N Y AVAIT PAS D ÉCODE DE POLITIQUE ÉCONOMIQUE RAISONNABLE SANS CES TROIS POURCENT
AU MOINS LUI EST COHÉRENT MAIS BON SANG QUAND ON ÉCOUTE AUJOURD'HUI TOUS LES TENANTS DU FAMEUX CERCLE DE LA RAISON ÉCONOMIQUE QUI NOUS EXPLIQUE LA MAIN SUR LE COEUR QUE LES TROIS POUR CENT C' EST IMPOSSIBLE QUE C' EST UNE FOLIE LES MÊMES JE VOUS ENGAGE À RELIRE LEURS DÉCLARATIONS	AU MOINS LUI EST COHÉRENT MAIS BON SANG QUAND ON ÉCOTE AUJOURD HUI TOUS LES TENANTS DU FAM CERCLE DE LA RAISON ÉCONOMIQUE QUI NOUS EXPLIQUE LA MAIN SUR LE CŒUR QUE LES TROIS POURCENTS S EST IMPOSSIBLE QUE C EST UNE FOLIE LES MÊMES JOUES ENGAGE À RELIRE LEUR DÉCLARATION
PENDANT LA CAMPAGNE ÉLECTORALE IL Y A QUELQUES MOIS C' EST PAS VIEUX C' EST PAS IL Y A DIX ANS C' ÉTAIT LÀ JUSTE IL Y A QUELQUES SEMAINES	TENDANT LA CAMPAGNE ÉTORALIA QUELQUES MOIS À SPAVIEUX BAYA DIX ANS STELLA JUSQU À QUELQUES SEMAINES
ILS DISAIENT EXACTEMENT LE CONTRAIRE QUE TOUS CEUX QUI NE SE FIXAIENT PAS POUR OBJECTIF LES TROIS POUR CENT ÉTAIENT DES INCONSÉQUENTS DES INCOMPÉTENTS QUI NE MÉRITAIENT PAS DE DIRIGER L' ÉTAT ET LES MÊMES AUJOURD'HUI NOUS EXPLIQUENT LE CONTRAIRE EN TOUTE IMPUNITÉ PERSONNE LES CONTREDIT D' AILLEURS	ILS DISENT EXACTEMENT LE CONTRAIRE QUE TOUS CEUX QUI NE SE FIXAIENT PAS POUR OBJECTIF LES TROIS POURCENT ÉTAIT DES INCONSÉQUENTS DES INCOMPÉTENTS QUI NE MÉRITTAIENT PAS DIRIGER L ÉTAT ET LES MÊMES AUJOURD HUI NOUS EXPLIQUENT LE CONTRAIRE EN TOUTE IMPUNITÉ PERSONNES LES CONTREDITS D AILLEURS
VOUS A PAS ÉCHAPPÉ QUAND MÊME QU' ON A CHANGÉ DE SÉQUENCE	J A PAS ÉCHAPPÉ QUAND MÊME QU ON A CHANGÉ D SÉQUENCENCES SÉQUENCENCENCENCENCENCENCENCENCENCENCENCENCENCENCENCENCENCENCENCENCE
EN TROIS MOIS	TROIS GENRES
EN TROIS MOIS	EN TROIS MOIS
(H) (N) OUI	ABBAWI
CONDITIONS ÉCONOMIQUES ONT CHANGÉ EN TROIS MOIS MAIS À QUI ON VA FAIRE	CONDITIONS ÉCONOMIQUES ONT CHANGÉ EN TROIS MOIS AVEC KIM AFFAIRE
PAS VRAI	PARBRE
LAURENT LAURENT	LAURENT LEURS THÉORÈMES ALLEMANDS LEURS
PAS VRAI	FABRANT
LA RÉCESSION S' EST AGGRAVÉE	LA RÉCESSION S EST AGGRAVÉE
MAIS C' EST VOS	METTREZ VOUS
(SA)VAIT PAS IL Y A TROIS MOIS	LES PAILLES À TROIS MOIS
LE LA GOUVERNANCE DE LA ZONE EURO S' EST S' EST AMÉLIORÉE DONC LA FRANCE EST PASSÉE SE PLANQUE DERRIÈRE L' ALLEMAGNE ET BÉNÉFICIE DE TAUX D' INTÉRÊT ET DONC ON PEUT PEUT ÊTRE IMAGINER QUE PARCE QU' IL Y A UN PETIT PEU MOINS D' INCERTITUDE (H) (N) EFFECTIVEMENT CES TROIS POUR CENT	LA GOUVERNANCE JEANNE ROSÉE S EST AMÉLIORÉE DONC LA FRANCE EST PASSÉE CE PLAN DERRIÈRE L ALLEMAGNE BÉNÉFICIE D AUTO D INTÉRÊT ET DONC ON PEUT PEUT ÊTRE IMAGINER QUE PARCE QU Y A UN TYPE MOINS D INCERTITUDES MAIS PAS EFFECTIVEMENT CES TROIS POURCENTS
QUI ÉTAIENT UNE FAÇON DE DIRE AUX MARCHÉS VOUS ALLEZ VOIR ON VA BIEN SE TENIR D' ÊTRE AU GARDE À VOUS (N) FINALEMENT VOILÀ LES MARCHÉS PEUVENT COMPRENDRE QUE	QUI ÉTAIT UNE FAÇON D IR AU MARCHÉ VOUS ALLEZ VOIR MA BIEN TENIR D ÊTRE GARDE À VOUS MAIS FINALEMENT VOILÀ LES MARCHÉS PEUVENT COMPRENDRE DEUX
QUI NOUS REGARDENT AUJOURD'HUI	SINOURGARDE AUJOURD HUI
(E)XPERTS ÉCONOMIQUES ET DES CHRONIQUEURS ÉCONOMIQUES QUI IL Y A TROIS MOIS NOUS DISAIENT UNE CHOSE QUI ÉTAIT UNE ÉVIDENCE ET QUI SE TROIS MOIS PLUS TARD NOUS DISENT LE CONTR(AIRE)	EXPERTS ÉCONOMIQUES ET DES CHRONIQUEURS ÉCONOMIQUES QUI Y A TROIS LOINT NOUS DISAIENT UNE CHOSE QUI ÉTAIT UNE ÉVIDENCE ET QUITTE TROIS MOIS PLUS TARD NOUS DISENT LE CONTONOMIQUE ET DES CHRONIQUEURS ÉCONOMIQUES QUI Y A TROIS LOIN NOUS DISAIENT UNE CHOSE QUI ÉTAIT UNE ÉVIDENCE ET QUITTE TROIS MOIS PLUS TARD NOUS DISENT LE CONGO
(IN)TÉRESSANT	GARÇONS
LE PROBLÈME C' EST C' EST PAS ÇA C' EST QUE LE LE LES CHOSES ONT CHANGÉ C' EST À DIRE QUE IL Y A UNE ESPÈCE D' AVEUGLEMENT DE LA PART DES EXPERTS ET DES POLITIQUES POUR DIRE L' AUSTÉRITÉ L' AUSTÉRITÉ L' AUSTÉRITÉ ET PUIS ALORS COMME DES APPRENTIS SORCIERS ILS SE SONT RENDU COMPTE QUE L' AUSTÉRITÉ	LE PROBLÈME C EST PASSA C EST QUE LE LES CHOSES SONT CHANGÉES EST À DIRE QUE ET UNE ESPÈCE D AVEUGLEMENTS DE LA PART DES EXPERTS ET DES POLITIQUES POUR DIRE L AUTÉRITÉ LOCTÉRITÉ L AUSTÉRITÉ ET PI ALORS COMME DES APPRENTIS SORCIERS ILS SONT RENDU COMPTE QUE L AUSTÉRITÉ
C' ÉTAIT EFFECTIVEMENT PÉNALISANT POUR L' ÉCONOMIE RÉELLE ON EST DANS UN ESPÈCE DE CERCLE VICIEUX OÙ LES GOUVERNEMENTS NOTAMMENT EUROPÉENS ONT TOUS CHOISI L' AUSTÉRITÉ CATASTROPHE POUR L' ÉCONOMIE RÉELLE D' AUTANT QUE LA RÉCESSION MONDIALE S' EST ACCÉLÉRÉE ALORS EFFECTIVEMENT (N) OUI LES EXPERTS	C ÉTAIT EFFECTIVEMENT PÉNALISANT POUR L ÉCONOMIE RÉELLE ORNÉ DANS UN DES ESPÈCES DE CERCLES VISIEUX LES GOUVERNEMENTS NOTAMMENT EUROPÉENS ONT TOUTE CHOISIT L AUSPÉRITÉ CATASTROPHE POUR L ÉCONOMIE RÉELLE D AUTANT QUE LA RÉCESSION MONDIALE S EST ACCÉLÉRÉE ALORS EFFECTIVEMENT BAOUI LES EXPERTS
ON LE SAIT ILS RACONTENT SOUVENT N' IMPORTE QUOI ET LÀ ILS LÀ VOILÀ ON A ON A LA PREUVE QUE	LE SAIT RACONTE SOUVENT N IMPORTE QUOI MAIS L AIDE LAVOLLARNE EN A LA PREUVE QUE
VA AVANCER	AVANCER
C' EST BON VOUS AVEZ FINI ROMAIN OU PAS	SELON J AI FINIREMENT AUPAS
(N) SI VOUS VOULEZ OUI	BAH AUSSI VOUS VOULEZ FAIRE
PAS ILLÉGITIME QU' UN DÉBAT AUSSI IMPORTANT SUR QU' EST CE QU' ON FAIT AVEC LA DÉPENSE PUBLIQUE ET CETERA ÉVOLUE EN FONCTION DES CIRCONSTANCES	LLÉGITIME QU UN DÉBAT AUSSI IMPORTANT SUR C ESCOFFÉ AVEC LA DÉPENSE PUBLIQUE ETC ÉVOLUE EN FONCTION DES INVESTANCES
SI VOUS M' AUTORISEZ JUSTE UN MOT UN DERNIER MOT LA VRAIE CONTRADICTION QU' ON DEVRAIT POINTER C' EST POURQUOI LE GOUVERNEMENT SE FIXE TOUJOURS COMME OBJECTIF LES TROIS POUR CENT TOUT EN DISANT PAR LA VOIX DU CHEF DE L' ÉTAT LA CRISE DE L' EURO ON EN VOIT DÉJÀ LE BOUT DU TUNNEL	C EST POURQUOI LE GOUVERNEMENT SE FIXE TOUJOURS COMME OBJECTIF LES TROIS POURCENT TOUT EN DISANT PAR LA VOIX DU CHEF DE L ÉTAT LA CRISE DE L EURO ON ENVOIE DÉJÀ LE BOUT DU CULEL
C' EST BIENTÔT FINI ET CETERA LÀ VOUS POURRIEZ DIRE ÇA ET LÀ CE SERAIT COHÉRENT POUR LE COUP	C EST BIENTÔT FINI ET ÉTAITRA LÀ VOUS POURRI DIRE ÇA ET LÀ CE SERAIT COHÉRENT POUR LE COUP
DÉBAT SUR LES LES QUESTIONS DE FOND ET PAS SUR DES FAUX PROBLÈMES	SUR LES LES QUESTIONS DE FONDS ET PAS SUR DES FAUX PROBLÈMES
DE CE QU' IL Y A AUSSI DANS VOS JOURNAUX CETTE SEMAINE PARCE QUE CES QUESTIONS LÀ BON ON LES ABORDE RÉGULIÈREMENT ON Y REVIENDRA MAIS IL Y A AUSSI AUTRE CHOSE DANS VOS DIFFÉRENTS JOURNAUX CETTE SEMAINE J' AIMERAIS QU' ON EN PARLE JUSTE EN CLIN D' OEIL COMME ÇA LA PHOTO DE LA SEMAINE DANS MARIANNE (N) C' EST CELLE QUI ÉTAIT À LA UNE DU FIGARO MARDI	MAIS AUSSI DANS VOS JOURNAUX CETTE SEMAINE PRESQUE SES QUESTIONS LABONS LES ABORDENT RÉGULIÈREMENT ON Y REVIENDRA MAIS AUSSI AUTRE CHOSE D EAU VONT DIFFÉRENTS JOURNAUX CETTE SEMAINE GÉNÉ CONDENTALE JUSQU AU CLIN D ŒIL COMME ÇA LA PHOTO DE LA SEMAINE NON MARIANNE C EST CELLE QUI ÉTAIT À LA LUNE DU FIGARO MARDI
VOILÀ JEAN MARC AYRAULT AVEC UN PEILLON DERRIÈRE QUI SEMBLE AVOIR DU MAL À À AVALER SA BOULETTE	VOILÀ JE RE MARQUERO AVEC UN PAILLON DERRIÈRE QUI SEMBLE AVOIR DU MAL À AVALER SA BOULETTE
IL Y A IL Y EN A IL Y EN A UNE AUTRE QUE J' AIME BIEN SI VOUS M' AUTORISEZ C' EST RACHIDA DATI QUI NOUS A EXPLIQUÉ QUE LE CANNABIS C' ÉTAIT ABSOLUMENT PAS POSSIBLE C' ÉTAIT UN SCANDALE IL FALLAIT PAS DÉPÉNALISER ET CETERA PUIS ELLE EST VENUE SUR UN PLATEAU DE TÉLÉ AVEC UN UN PULL ABSOLUMENT MAGNIFIQUE AVEC UNE PHOTO DE D' HERBE DANS LE DOS VOILÀ	Y EN A UNE AUTRE QUE J AI BIEN SI VOUS MOTORISEZ CES RACHIDAGATIQUES QUI NOUS A EXPLIQUAIENT QUE LE CANNABIS ÉTAIT ABSOLUMENT PAS POSSIBLE D UN SCANDALE IL FALLAIT PAS DES PÉNALISER CES THÉRAPIES REVENUES SUR UN PLATEAU DE TÉLÉ AVEC UN IN PLUS L ABSOLUMENT MAGNIFIQUE AVEC UNE PHOTO DE D HERBES DANS LE DOUBLAGE
ELLE A DIT QUE C' ÉTAIT PAS DU CANNABI(S)	MALADIS QUE C ÉTAIT PAS DU CANADIEN DU CANADIABBDBBDBBDIDI
BIEN SÛR DE L' EUCALYPTUS ET VOUS LA CROYEZ SUR SON PULL	BIEN SÛR ZO LOCALYPTUCE ET VOUS LA CROYETTE MONSIEUR FAÇON LA FEMME
BON ALORS ON ON VA REPARLER DE VINCENT PEILLON MAIS QUI N' EST PAS SEULEMENT COMME L' APPELLE LE FIGARO MAGAZINE UN MULTIRÉCIDIVISTE DU COUAC IL EST AUSSI MINISTRE DE L' ÉDUCATION NATIONALE LE POINT NOUS BROSSE LE PORTRAIT	ENVIRON PAR LES VINCENT PEYO MAIS QUI N EST PAS SEULEMENT COMME L APPELLE FIGUREAU MAGAZINE MULTI RÉCIDIVISTES DU COIN QU IL EST AUSSI MINISTRE DE L ÉDUCATION NATIONALE LE POINT DE BROSSE LE PORTRAIT
DU MINISTRE CETTE SEMAINE IL EST DE L' AVIS DE TOUS BIEN PRÉPARÉ ET ENTIÈREMENT ATTELÉ À SA GIGANTESQUE TÂCHE VOILÀ CE VOILÀ CE QU' ON PEUT LIRE CETTE SEMAINE DANS LE POINT AVEC CETTE DÉCLARATION QUAND MÊME FORTE DE DE VINCENT PEILLON	DU MINISTRE CETTE SEMAINE IL EST DE L AVIS DE TOUS BIEN PRÉPARÉ ET ENTIÈREMENT ATTELÉ À SA GIGANTESQUE TASH VALASSE VOILÀ CE QU ON PEUT LIRE CETTE SEMAINE DANS LE POING AVEC CETTE DÉCLARATION QUAND MÊME FORTE DE DE VINCENT PAYONS
QUAND JE ME RÉVEILLE LA TÂCHE M' ÉCRASE JE VEUX CHANGER L' ÉCOLE FRANÇAISE JE SERAI JUGÉ SUR L' ÉCOLE QU' EST CE QUE ÇA VOUS INS(PIRE)	QUAND JE ME RÉVEILLE LA TACHE M ÉCRASE JE VEUX CHANGER L ÉCOLE FRANÇAISE JE SERAI JUGER SUR L ÉCOLE QU EST CE QUE ÇA VOUS A INSPIRE JE VEUX CHANGER L ÉCOLE FRANÇAISE JE SERAI JUGER SUR L ÉCOLE QU EST CE QUE ÇA VOUS A INSPIRE JE VEUX CHANGER L ÉCOLE FRANÇAISE JE SERAI JUGER SUR L ÉCOLE QU EST CE QUE ÇA VOUS A INSPIRE JE VEUX CHANGER L ÉCOLE FRANÇAISE JE SERAI JUGER SUR L ÉCOLE QU EST CE QUE ÇA VOUS A INSPIRE JE VEUX CHANGER L ÉCOLE FRANÇAISE JE SERAI JUGER SUR L ÉCOLE QU EST CE QUE ÇA VOUS A INSPIRE JE 
CLAUDE VOUS VOULEZ ME PARLER DE	CLAUDE VOULAIT PARLER DE
DE PEILLON	NOUS PAYONS
DE LA MISSION DE PEILLON À L' ÉDUCATION NATIONALE	DE LA MISSION DE PAYANT À L ÉDUCATION NATIONALE
(N) IL A MIS LA BARRE TRÈS TRÈS HAUT EN EMPLOYANT DES UN VOCABULAIRE EN PARLANT DE REFONDATION DE L' ÉCOLE ON N' EST PLUS DANS LA RÉFORME VINCENT PEILLON A EN EFFET L' IDÉE	EMPLOYANT DES VOCABULAIRES EN REFONDATION D ÉCOLE ON N EST PLUS DANS LA RÉFORME VINCENT PAYANT EN EFFET L IDÉE
QUE IL FAUT SORTIR DES DES DES BRICOLAGES COMME VOUS SAVEZ TOUS LES MINISTRES DE L' ÉDUCATION NATIONALE DEPUIS DES DÉCENNIES	QUE IL FAUT SORTIR DES DES BRICOLAGES COMME VOUS SAVEZ TOUS LES MINISTRES DE L ÉDUCATION NATIONALE PUIS DES DÉCENNIES
ONT VOULU MARQUER LEUR EMPREINTE EN FAISANT LA RÉFORME ET CETERA CHACUN S' EST ATTACHÉ MÊME S' EST ATTELÉ À UN PETIT BOUT DE LA MACHINE LUI VEUT REFONDER L' ENSEMBLE DU TRUC	ON VOULUT MARQUER LE REMPRENDRE EN FAISANT LA RÉFORME ETC CHACUN CET ATTACHEMENT ATTELÉ UN PETIT BOUT DE MACHINE LUI VEUT REFONDER L ENSEMBLE DE TRUCS
DANS UNE DANS UNE PHILOSOPHIE	DANS UNE DANS UNE PHILOSOPHIE
QUI EST QUI QUI SE VEUT UN JE DIRAIS UN COMPROMIS ENTRE L' ÉCOLE TRADITIONNELLE TELLE QUE L' A INCARNÉE PAR EXEMPLE JEAN PIERRE CHEVÈNEMENT ET PUIS LES LES EXPÉRIMENTATEURS C' EST À DIRE IL SE IL VEUT VÉRITABLEMENT REFONDER LA PHILOSOPHIE MÊME DE L' ÉCOLE	QUITTE QUI SE VEUT EN GIRON COMPROMIS ENTRE L ÉCOLE TRADITIONNELLES TELLES QUE L INCARNER PAR EXEMPLE SON PIERRE CHEVÈNEMENT ET PUIS LES EXPÉRIMENTATEURS C EST À DIRE HIS YVES AU VÉRITABLEMENT REFONDÉ LA PHILOSOPHIE MÊME DE L ÉCOLE
SUR LES BASES QUE VOUS CONNAISSEZ LE LE LE LE LE LE SAVOIR L' ÉGALITÉ DES CHANCES ET CETERA	SUR LES BASES QUE VOUS CONNAISSEZ LE NOM DE LE SAVOIR L ÉGALITÉ DES CHOSES ETC
POUR LE MOMENT	POUR LE MOMENT
ÇA DONNE L' IMPRESSION D' UN CHANTIER ON ON ON VOIT PAS DE TRADUCTION TRÈS CONCRÈTE MAIS IL Y A UNE INSPIRATION MOI JE TROUVE QU' IL Y A UNE INSPIRATION DANS CETTE POLITIQUE ET APRÈS ON JUGERA SUR LES RÉSULTATS	SA DONNE IMPRESSION D UN CHANTIER EN CONVOIE PAS DE TRADUCTIONS TRÈS CONCRÈTES MAIS Y A UNE INSPIRATION MAJEURE QUI A UNE INSPIRATION DANS CETTE POLITIQUE EST APRÈS REGISTRE SUR LES RÉSULTATS
EST CE QU' IL Y A UNE INSPIRATION DANS CETTE POLITIQUE GUILLAUME	L INSPIRATION DE CETTE POLITIQUE GUILLAUME
IL Y A SÛREMENT UNE INSPIRATION IL Y A UNE IL Y A UNE AMBITION QUI EST RÉELLE UNE VOLONTÉ D' Y ARRIVER JE VOUS INCITE À ALLER SUR LE SITE DE L' ÉDUCATION NATIONALE OÙ IL Y A UN UN UNE CHAÎNE QUI S' APPELLE REFONDA(TION) REFONDATION DE L' ÉCOLE OU REFONDER L' ÉCOLE QUI EST TRÈS BIEN FAITE JE CROIS QUE LA BONNE VOLONTÉ DE PEILLON N' EST PAS EN CAUSE	Y ASSURE MON INSPIRATION Y A EU D Y A UNE AMBITION QUI RÉELLE UNE VOLONTÉ D ARRIVÉE JOUE D INSTALLER SUR LE SITE DE L ÉDUCATION NATIONALE OUVIENT UNE CHAÎNE CAPELLE REFONDANT LA REFONDATION D ÉCOLE REFONDÉE L ÉCOLE QUI EST TRÈS BIEN FAITE SOIT QUE LA BONNE VOLONTÉ DE PAYANT N EST PAS EN CAUSE
COMME JE CROIS LA VOLONTÉ PAR EXEMPLE DE FRANÇOIS HOLLANDE DE RÉFORMER LA FISCALITÉ EN FUSIONNANT TOUS LES IMPÔTS N' ÉTAIT PAS EN CAUSE NON PLUS ET ÇA A ABOUTI SUR QUOI ÇA A DÉBOUCHÉ SUR QUOI PARDON SUR RIEN MOI JE PENSE QUE LE FOND DU PROBLÈME C' EST QUE AVEC TOUTE L' ÉNERGIE LA BONNE VOLONTÉ	COMME JE CROIS LA VOLONTÉ PAR EXEMPLE DE FRANCÇONNANT DE RÉFORMER LA FISCALITÉ EN FUSIONNANT TOUS LES IMPÔTS LES PAS ENCORE NON PLUS ET ÇA ABOUTIT SURQUOI ÇA A DÉBOUCHÉ SUR QUOI PARDON SUR RIEN MAIS JE PENSE QUE LE FOND DU PROBLÈME C EST QUE AVEC TOUTE L ÉNERGIE LA BONNE VOLONTÉ
LA CULTURE ET LA COMPÉTENCE DE PEILLON	LA CULTURE ET LA COMPÉTENCE DE BAYON
IL EST DANS UN SYSTÈME ABSOLUMENT CONSIDÉRABLE ET LA LA SEULE FAÇON DE LE FAIRE UN PEU ÉVOLUER C' EST DE PARTIR DE LA BASE OR LA BASE ELLE EST TENUE PAR LES SYNDICATS ET DONC JE PENSE QUE CETTE RÉFORME J' EN FAIS LE PARI J' AI VRAIMENT J' ESPÈRE ME TROMPER DANS SIX MOIS ELLE AURA	IL EST DANS UN SYSTÈME ABSOLU CONSIDÉRABLE ET LA SEULE FAÇON DE LE FAIRE UN PEU ÉVOLUER CETTE PARTIR DE LA BASE ORF LA BASE ELLE EST TENUE PAR LES SYNDICATS ET DONC JE PENSE QUE CETTE RÉFORME JEAN FEL PARIS VRAIMENT J ESPÈRE ME TROMPER DANS SIX MOIS ELLE N AURA
ELLE SERA PARTIE DANS LES SABLES COMME D' AUTRES AVANT ELLE	IL SERA PARTI DANS LES SABLES COMME D AUTRES AVANT ELLES
(H) CE SERA TERRIBLE PARCE QUE UN INTIME DE VINCENT PEILLON SE SE CONFIE DANS LE POINT IL EST HABITÉ PAR CE POSTE IL S' Y CONSACRE À DEUX CENTS POUR CENT S' IL RATE IL MOURRA DE HONTE	CE TRATÉRIM PASSE QUE UN INTIME DE VINCENT PAILLANCE SE CONFIE DANS LE POINT IL EST HABITÉ PAR CE POSTE IL S Y CONSACRE À DEUX CENTS POURCENT S IL RATE IL MOURRA DE HONTE
IL Y A UNE AUTRE CHOSE C' EST QUE JE TROUVE QUE LES SIGNAUX ENVOYÉS JUSQU' À PRÉSENT PAR VINCENT PEILLON SONT SONT CONTRADICTOIRES AVEC CETTE CETTE VOLONTÉ DE RÉFORME ON A L' IMPRESSION QUE LÀ C' EST PLUTÔT DU LAISSER ALLER ROMAIN A PARLÉ DES VACANCES EFFECTIVEMENT C' EST ASSEZ SPECTACULAIRE IL COMMENCE PAR ALLONGER LES VACANCES	Y A UNE AUTRE CHOSE C EST QUE JE TROUVE QUE LES SIGNAUX ENVOYÉS JUSQU À PRÉSENT PART À SON PAYON SONT CONTRADICTOIRES AVEC CETTE VOLONTÉ DE RÉFORM DANS L IMPRESSION CLASSÉE PLUTÔT DU LAISSER ALLER ROMAIN PARLER DES VACANCES EFFECTIVEMENT SUR ASSEZ SPECTACULAIRES QUI COMMENCENT PAS À ALLONGER LES VACANCES
EN AYANT DIT AUPARAVANT QUE LE RYTHME SCOLAIRE N' ÉTAIT PAS BON ON NOUS EXPLIQUE QU' IL FAUT SUPPRIMER LES NOTES PARCE QUE ÇA TRAUMATISE LES CHERS PETITS ON ON ON A LÀ UNE UNE UNE LOGIQUE QUI N' APPARAÎT VRAIMENT PAS TRÈS CLAIRE C' EST POUR ÇA À MON AVIS POUR QUE CE CETTE HISTOIRE DE CANNABIS	ON N AYANT DIT AUPARAVANT QUE LE RYTHME SCOLAIRE N ÉTAIT PAS BON ON NE EXPLIQUE PAS SUPPRIMER L ÉNORME PARCE QUE SA TRAUMATISE LES CHER PETITS ON ALLA UNE UNE UNE LOGIQUE QUI N APPARAÎT VRAIMENT PAS TRÈS CLAIRE C EST POUR ÇA À MON AVIS POUR QUE SUR SON HISTOIRE DE CANNABIS
ÇA NE FAIT QUE BROUILLER ENCORE UN PEU PLUS UNE UNE MISSION QUI POURTANT ÉTAIT ÉTAIT ÉMINEMMENT ESTIMABLE EN ELLE MÊME	ÇA NE FAIT QUE BROUILLER ENCORE UN PEU PLUS UNE MISSION QUI POURTANT ÉTAIT ÉMINEMMENT ESTIMABLE EN ELLE MÊME
ROMAIN	MOINS
C' EST UNE MISSION EFFECTIVEMENT RÉCURRENTE DE DEPUIS VINGT ANS TOUS LES MINISTRES DE L' ÉDUCATION ONT DES GRANDS PROJETS ET LE PROBLÈME C' EST C' EST EFFECTIVEMENT ÇA ON PEUT PAS DIRE C' EST LE CHANTIER NUMÉRO UN	ÉMISSIONS EFFECTIVEMENT RÉCURRENTES DEPUIS VINGT ANS TOUS LES MINISTRES DE L ÉDUCATION DES GRANDS PROJETS ET LE PROBLÈME C EST EFFECTIVEMENT SIMPLE PAS DIRE CES DEUX CHANTIERS NUMÉROS
DU DU GOUVERNEMENT (N) C' EST QUAND MÊME CE CE QUE CE QU' A DIT FRANÇOIS HOLLANDE PENDANT LA CAMPAGNE NOTAMMENT ET ET ON LE ON LE SENT DANS CETTE SOCIÉTÉ FRANÇAISE EN CRISE ET CETERA L' ÉCOLE	DU GOUVERNEMENT ENSEIGNAMEUSE SK SKADI FRANÇOIS HOLLANDE PENDANT LA CAMPAGNE NOTAMMENT ET ON LE ON LE SANG DANS CETTE SOCIÉTÉ FRANÇAISE EN CRISE ET DIFFÉRENT À L ÉCOLE
C' EST C' EST QUAND MÊME CE QUI CE QU' IL Y A DE PLUS BEAU COMME POUR FAIRE LE LIEN SOCIAL ET ON VOIT QUE LES CHANTIERS SONT TRÈS ADMINISTRATIFS C' EST À DIRE ON OUI ALORS LE MERCREDI MATIN MAIS C' EST PAS ÇA L' ÉCOLE L' ÉCOLE C' EST C' EST C' EST C' EST LES INÉGALITÉS FRANÇAISES QUI SE MANIFESTENT ENFIN	C EST CE QUAND MÊME SKIS QUI Y A DE PLUS BEAU COMME POURRONT FAIRE LE LIEN SOCIAL ET ON VOIT QUE LES CHANTIERS SONT TRÈS ADMINISTRATIFS ADHÉRENTS OUI ALORS LE MERCREDI MATIN ET SÉPASSA À L ÉCOLE L ÉCOLE C EST CES INÉGALITÉS FRANÇAISES QUI SE MANIFESTENT ENFIN
ON ON ON S' EST ON ON ON LE VOIT IL Y A DES ÉTUDES EXTRÊMEMENT POUSSÉES QUI MONTRENT	ON ENSEIGNANT ON LE VOIT À DES ÉTUDES EXTRÊMEMENT POUSSÉES QUI MONTRENT
LE LE QUE QU' EN QU' EN VINGT ANS LE LE PROBLÈME C' EST PAS LA BAISSE DE NIVEAU C' EST PAS C' EST PAS ÇA LES ENFANTS ONT ÉVOLUÉ LA FAÇON D' ENSEIGNER AUSSI LA LE LE PROBLÈME C' EST L' INÉGALITÉ ELLE EST ENCORE PLUS SPECTACULAIRE QUE DANS LES NIVEAUX DE VIE C' EST À DIRE QU' AUJOURD'HUI SUIVANT QUE LÀ OÙ VOUS VIVEZ	TANT QU EN VINTANT LE PROBLÈME SÉPA LA BAISSE DE NIVEAU CESPINS SE PASSÈRENT LES ENFANTS ONT ÉVOLUÉ LES LA FAÇONS D ENSEIGNER AUSSI LE LE PROBLÈME C EST L INÉGALITÉ ELLE EST ENCORE PLUS SPECTACULAIRE QUE DANS LES NIVEAUX DE VIE C EST À DIRE QU AUJOURD HUI SUIVANT L AOUVER
